Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 27, 2019","Edmonton, Alberta, Canada",win,Max Holloway,Frankie Edgar,0,0,129,96,0,1,0,0,Featherweight,U-DEC,,5,5:00
"July 27, 2019","Edmonton, Alberta, Canada",win,Cristiane Justino,Felicia Spencer,0,0,122,38,0,0,0,0,Women's Featherweight,U-DEC,,3,5:00
"July 27, 2019","Edmonton, Alberta, Canada",win,Geoff Neal,Niko Price,0,1,41,24,2,0,0,0,Welterweight,KO/TKO,Punches,2,2:39
"July 27, 2019","Edmonton, Alberta, Canada",win,Arman Tsarukyan,Olivier Aubin-Mercier,0,0,47,23,2,0,0,0,Lightweight,U-DEC,,3,5:00
"July 27, 2019","Edmonton, Alberta, Canada",win,Krzysztof Jotko,Marc-Andre Barriault,0,0,40,39,1,1,0,0,Middleweight,S-DEC,,3,5:00
"July 27, 2019","Edmonton, Alberta, Canada",win,Viviane Araujo,Alexis Davis,0,0,67,68,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"July 27, 2019","Edmonton, Alberta, Canada",win,Hakeem Dawodu,Yoshinori Horie,1,0,80,39,0,0,0,0,Featherweight,KO/TKO,Kick,3,4:09
"July 27, 2019","Edmonton, Alberta, Canada",win,Gavin Tucker,SeungWoo Choi,0,0,37,23,5,2,2,0,Featherweight,SUB,Rear Naked Choke,3,3:17
"July 27, 2019","Edmonton, Alberta, Canada",win,Deiveson Figueiredo,Alexandre Pantoja,1,0,67,61,2,2,0,0,Flyweight,U-DEC,,3,5:00
"July 27, 2019","Edmonton, Alberta, Canada",win,Gillian Robertson,Sarah Frota,0,0,29,9,2,0,0,0,Women's Flyweight,KO/TKO,Elbows,2,4:13
"July 27, 2019","Edmonton, Alberta, Canada",win,Erik Koch,Kyle Stewart,0,0,37,23,4,0,0,0,Welterweight,U-DEC,,3,5:00
