Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 23, 2018","Kallang, Singapore",win,Leon Edwards,Donald Cerrone,0,0,84,60,0,1,0,0,Welterweight,U-DEC,,5,5:00
"June 23, 2018","Kallang, Singapore",win,Ovince Saint Preux,Tyson Pedro,0,1,7,9,0,0,1,1,Light Heavyweight,SUB,Armbar,1,2:54
"June 23, 2018","Kallang, Singapore",win,Jessica Eye,Jessica-Rose Clark,0,0,67,51,1,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"June 23, 2018","Kallang, Singapore",win,Li Jingliang,Daichi Abe,0,0,96,45,0,0,0,0,Welterweight,U-DEC,,3,5:00
"June 23, 2018","Kallang, Singapore",win,Petr Yan,Teruto Ishihara,2,0,25,11,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:28
"June 23, 2018","Kallang, Singapore",win,Song Yadong,Felipe Arantes,1,0,39,8,1,0,1,0,Bantamweight,KO/TKO,Elbow,2,4:59
"June 23, 2018","Kallang, Singapore",win,Shane Young,Rolando Dy,0,0,104,57,1,0,0,0,Featherweight,KO/TKO,Elbow,2,4:40
"June 23, 2018","Kallang, Singapore",win,Song Kenan,Hector Aldana,1,0,32,39,0,2,0,0,Welterweight,KO/TKO,Punch,2,4:45
"June 23, 2018","Kallang, Singapore",win,Jake Matthews,Shinsho Anzai,0,0,12,1,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:44
"June 23, 2018","Kallang, Singapore",win,Yan Xiaonan,Viviane Pereira,0,0,71,44,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"June 23, 2018","Kallang, Singapore",win,Matt Schnell,Naoki Inoue,0,0,71,48,0,0,0,0,Flyweight,S-DEC,,3,5:00
"June 23, 2018","Kallang, Singapore",win,Yuta Sasaki,Jenel Lausa,0,0,25,7,5,0,1,0,Flyweight,SUB,Rear Naked Choke,2,4:04
"June 23, 2018","Kallang, Singapore",win,Ji Yeon Kim,Melinda Fabian,0,0,73,72,0,0,0,0,Women's Flyweight,S-DEC,,3,5:00
