Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 15, 2010","Austin, Texas, USA",win,Nate Marquardt,Rousimar Palhares,0,0,13,1,0,0,1,1,Middleweight,KO/TKO,Punches,1,3:28
"September 15, 2010","Austin, Texas, USA",win,Charles Oliveira,Efrain Escudero,0,0,35,13,2,0,1,0,Lightweight,SUB,Rear Naked Choke,3,2:25
"September 15, 2010","Austin, Texas, USA",win,Jim Miller,Gleison Tibau,0,0,29,23,0,4,2,0,Lightweight,U-DEC,,3,5:00
"September 15, 2010","Austin, Texas, USA",win,Cole Miller,Ross Pearson,1,0,24,26,1,0,1,0,Lightweight,SUB,Rear Naked Choke,2,1:49
"September 15, 2010","Austin, Texas, USA",win,Yves Edwards,John Gunderson,0,0,54,15,1,0,1,2,Lightweight,U-DEC,,3,5:00
"September 15, 2010","Austin, Texas, USA",win,Kyle Kingsbury,Jared Hamman,0,0,79,88,9,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"September 15, 2010","Austin, Texas, USA",win,David Branch,Tomasz Drwal,0,0,15,10,3,0,0,0,Middleweight,U-DEC,,3,5:00
"September 15, 2010","Austin, Texas, USA",win,Rich Attonito,Rafael Natal,1,0,25,28,0,2,0,0,Middleweight,U-DEC,,3,5:00
"September 15, 2010","Austin, Texas, USA",win,TJ Waldburger,David Mitchell,0,0,37,13,6,2,7,6,Welterweight,U-DEC,,3,5:00
"September 15, 2010","Austin, Texas, USA",win,Brian Foster,Forrest Petz,1,0,17,1,0,0,0,0,Welterweight,KO/TKO,Punches,1,1:07
