Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 31, 2020","Las Vegas, Nevada, USA",win,Uriah Hall,Anderson Silva,2,0,60,53,0,0,0,0,Middleweight,KO/TKO,Punches,4,1:24
"October 31, 2020","Las Vegas, Nevada, USA",win,Bryce Mitchell,Andre Fili,0,0,46,27,7,0,1,0,Featherweight,U-DEC,,3,5:00
"October 31, 2020","Las Vegas, Nevada, USA",win,Greg Hardy,Maurice Greene,1,0,46,17,1,0,0,0,Heavyweight,KO/TKO,Punches,2,1:12
"October 31, 2020","Las Vegas, Nevada, USA",win,Kevin Holland,Charlie Ontiveros,0,0,11,2,2,0,0,0,Middleweight,SUB,Injury,1,2:39
"October 31, 2020","Las Vegas, Nevada, USA",win,Thiago Moises,King Green,0,0,42,85,2,2,1,0,Lightweight,U-DEC,,3,5:00
"October 31, 2020","Las Vegas, Nevada, USA",win,Alexander Hernandez,Chris Gruetzemacher,1,0,29,8,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:46
"October 31, 2020","Las Vegas, Nevada, USA",win,Adrian Yanez,Victor Rodriguez,1,0,17,6,0,0,0,0,Bantamweight,KO/TKO,Kick,1,2:46
"October 31, 2020","Las Vegas, Nevada, USA",win,Sean Strickland,Jack Marshman,0,0,106,48,0,0,0,0,Middleweight,U-DEC,,3,5:00
"October 31, 2020","Las Vegas, Nevada, USA",win,Jason Witt,Cole Williams,0,0,20,1,2,0,1,0,Welterweight,SUB,Arm Triangle,2,2:09
"October 31, 2020","Las Vegas, Nevada, USA",win,Dustin Jacoby,Justin Ledet,2,0,22,10,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,2:38
"October 31, 2020","Las Vegas, Nevada, USA",win,Miles Johns,Kevin Natividad,1,0,48,33,0,0,0,0,Bantamweight,KO/TKO,Punch,3,2:51
