Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 21, 2018","Atlantic City, New Jersey, USA",win,Kevin Lee,Edson Barboza,0,0,142,51,4,0,0,0,Lightweight,KO/TKO,,5,2:18
"April 21, 2018","Atlantic City, New Jersey, USA",win,Frankie Edgar,Cub Swanson,0,0,58,48,0,0,0,0,Featherweight,U-DEC,,3,5:00
"April 21, 2018","Atlantic City, New Jersey, USA",win,Justin Willis,Chase Sherman,1,0,76,69,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"April 21, 2018","Atlantic City, New Jersey, USA",win,David Branch,Thiago Santos,1,0,5,14,0,0,0,0,Middleweight,KO/TKO,Punch,1,2:30
"April 21, 2018","Atlantic City, New Jersey, USA",win,Aljamain Sterling,Brett Johns,0,0,89,27,3,1,0,0,Bantamweight,U-DEC,,3,5:00
"April 21, 2018","Atlantic City, New Jersey, USA",win,Dan Hooker,Jim Miller,1,0,24,10,0,1,0,0,Lightweight,KO/TKO,Knee,1,3:00
"April 21, 2018","Atlantic City, New Jersey, USA",win,Ryan LaFlare,Alex Garcia,0,0,24,11,1,5,0,0,Welterweight,U-DEC,,3,5:00
"April 21, 2018","Atlantic City, New Jersey, USA",win,Ricky Simon,Merab Dvalishvili,0,1,34,61,2,6,1,0,Bantamweight,SUB,Guillotine Choke,3,5:00
"April 21, 2018","Atlantic City, New Jersey, USA",win,Siyar Bahadurzada,Luan Chagas,1,0,33,11,1,0,0,0,Welterweight,KO/TKO,Kick,2,2:40
"April 21, 2018","Atlantic City, New Jersey, USA",win,Corey Anderson,Patrick Cummins,0,0,64,31,12,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"April 21, 2018","Atlantic City, New Jersey, USA",win,Anthony Rocco Martin,Keita Nakamura,0,0,56,24,0,2,2,0,Welterweight,U-DEC,,3,5:00
