Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 13, 2019","Atlanta, Georgia, USA",win,Dustin Poirier,Max Holloway,0,0,178,181,1,0,0,1,Lightweight,U-DEC,,5,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Israel Adesanya,Kelvin Gastelum,4,0,109,91,0,1,2,0,Middleweight,U-DEC,,5,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Khalil Rountree Jr.,Eryk Anders,4,0,79,16,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Dwight Grant,Alan Jouban,0,0,38,24,0,1,0,0,Welterweight,S-DEC,,3,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Nikita Krylov,Ovince Saint Preux,0,0,27,4,1,3,2,0,Light Heavyweight,SUB,Rear Naked Choke,2,2:30
"April 13, 2019","Atlanta, Georgia, USA",win,Matt Frevola,Jalin Turner,0,0,31,35,4,0,2,1,Lightweight,U-DEC,,3,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Alexandre Pantoja,Wilson Reis,1,0,23,1,0,1,0,0,Flyweight,KO/TKO,Punch,1,2:58
"April 13, 2019","Atlanta, Georgia, USA",win,Max Griffin,Zelim Imadaev,0,0,47,64,6,0,3,0,Welterweight,M-DEC,,3,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Khalid Taha,Boston Salmon,1,0,5,0,0,0,0,0,Bantamweight,KO/TKO,Punch,1,0:25
"April 13, 2019","Atlanta, Georgia, USA",win,Belal Muhammad,Curtis Millender,0,0,47,48,2,0,0,0,Welterweight,U-DEC,,3,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Montel Jackson,Andre Soukhamthath,0,0,64,30,3,1,0,0,Bantamweight,U-DEC,,3,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Poliana Botelho,Lauren Mueller,0,0,47,47,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"April 13, 2019","Atlanta, Georgia, USA",win,Brandon Davis,Randy Costa,0,0,35,46,0,0,1,0,Bantamweight,SUB,Rear Naked Choke,2,1:12
