Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Robert Whittaker,Ikram Aliskerov,1,0,14,5,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:49
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Alexander Volkov,Sergei Pavlovich,0,0,83,46,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Kelvin Gastelum,Daniel Rodriguez,0,0,112,127,4,0,0,0,Middleweight,U-DEC,,3,5:00
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Shara Magomedov,Antonio Trocoli,1,0,82,16,0,0,0,0,Middleweight,KO/TKO,Punches,3,2:27
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Volkan Oezdemir,Johnny Walker,2,0,37,15,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,2:28
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Nasrat Haqparast,Jared Gordon,0,0,146,141,0,0,0,0,Lightweight,S-DEC,,3,5:00
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Felipe Lima,Muhammad Naimov,0,0,37,30,1,1,1,0,Featherweight,SUB,Rear Naked Choke,3,1:15
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Rinat Fakhretdinov,Nicolas Dalby,0,0,68,66,5,0,0,0,Welterweight,S-DEC,,3,5:00
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Muin Gafurov,Kyung Ho Kang,0,0,47,12,1,3,0,0,Bantamweight,U-DEC,,3,5:00
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,Magomed Gadzhiyasulov,Brendson Ribeiro,0,0,26,17,5,3,0,1,Light Heavyweight,M-DEC,,3,5:00
"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,ChangHo Lee,Xiao Long,0,0,84,68,2,2,0,0,Bantamweight,S-DEC,,3,5:00
