Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 03, 2022","Orlando, Florida, USA",win,Stephen Thompson,Kevin Holland,0,0,163,119,0,2,0,0,Welterweight,KO/TKO,,4,5:00
"December 03, 2022","Orlando, Florida, USA",win,Rafael Dos Anjos,Bryan Barberena,0,0,20,14,4,0,2,0,Welterweight,SUB,Rear Naked Choke,2,3:20
"December 03, 2022","Orlando, Florida, USA",win,Matheus Nicolau,Matt Schnell,2,0,32,20,1,0,0,0,Flyweight,KO/TKO,Punch,2,1:44
"December 03, 2022","Orlando, Florida, USA",win,Sergei Pavlovich,Tai Tuivasa,2,0,23,2,0,0,0,0,Heavyweight,KO/TKO,Punches,1,0:54
"December 03, 2022","Orlando, Florida, USA",win,Roman Dolidze,Jack Hermansson,0,0,25,47,0,2,3,0,Middleweight,KO/TKO,Punches,2,4:06
"December 03, 2022","Orlando, Florida, USA",win,Eryk Anders,Kyle Daukaus,1,0,49,37,1,0,0,0,Middleweight,KO/TKO,Punches,2,2:45
"December 03, 2022","Orlando, Florida, USA",win,Phil Rowe,Niko Price,0,0,63,110,1,0,2,0,Welterweight,KO/TKO,Punches,3,3:26
"December 03, 2022","Orlando, Florida, USA",win,Angela Hill,Emily Ducote,0,0,182,71,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"December 03, 2022","Orlando, Florida, USA",win,Clay Guida,Scott Holtzman,0,0,66,65,4,0,0,0,Lightweight,S-DEC,,3,5:00
"December 03, 2022","Orlando, Florida, USA",win,Michael Johnson,Marc Diakiese,0,0,83,55,0,0,0,0,Lightweight,U-DEC,,3,5:00
"December 03, 2022","Orlando, Florida, USA",win,Jonathan Pearce,Darren Elkins,0,0,110,57,2,2,0,0,Featherweight,U-DEC,,3,5:00
"December 03, 2022","Orlando, Florida, USA",win,Natan Levy,Genaro Valdez,0,0,67,49,6,0,0,0,Lightweight,U-DEC,,3,5:00
"December 03, 2022","Orlando, Florida, USA",win,Francis Marshall,Marcelo Rojo,1,0,23,31,1,0,0,0,Featherweight,KO/TKO,Punch,2,1:14
"December 03, 2022","Orlando, Florida, USA",win,Yazmin Jauregui,Istela Nunes,2,1,67,36,0,0,0,0,Women's Strawweight,KO/TKO,Punches,2,4:06
