Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Glover Teixeira,Ryan Bader,1,0,14,11,1,0,0,1,Light Heavyweight,KO/TKO,Punch,1,2:55
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Jacare Souza,Yushin Okami,1,0,28,1,0,0,0,0,Middleweight,KO/TKO,Punch,1,2:47
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Joseph Benavidez,Jussier Formiga,1,0,20,6,0,0,0,0,Flyweight,KO/TKO,Knee,1,3:07
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Piotr Hallmann,Francisco Trinaldo,0,1,42,22,2,1,1,0,Lightweight,SUB,Kimura,2,3:50
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Rafael Natal,Tor Troeng,2,0,39,9,0,0,1,0,Middleweight,U-DEC,,3,5:00
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Ali Bagautinov,Marcos Vinicius,2,0,38,27,3,0,1,0,Flyweight,KO/TKO,Punch,3,3:28
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Edimilson Souza,Felipe Arantes,0,0,52,35,0,3,0,1,Featherweight,S-DEC,,3,5:00
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Lucas Martins,Ramiro Hernandez,1,0,10,4,0,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,1:10
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Elias Silverio,Joao Zeferino,0,0,49,11,1,1,0,0,Welterweight,U-DEC,,3,5:00
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Ivan Jorge,Keith Wisniewski,0,0,69,42,2,0,0,0,Welterweight,U-DEC,,3,5:00
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",win,Sean Spencer,Yuri Villefort,0,0,99,69,0,1,0,0,Welterweight,S-DEC,,3,5:00
