Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 08, 2020","Houston, Texas, USA",win,Jon Jones,Dominick Reyes,0,0,104,116,2,0,0,0,Light Heavyweight,U-DEC,,5,5:00
"February 08, 2020","Houston, Texas, USA",win,Valentina Shevchenko,Katlyn Cerminara,0,0,40,17,3,0,0,0,Women's Flyweight,KO/TKO,Punches,3,1:03
"February 08, 2020","Houston, Texas, USA",win,Justin Tafa,Juan Adams,1,0,10,7,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:59
"February 08, 2020","Houston, Texas, USA",win,Dan Ige,Mirsad Bektic,0,0,43,17,1,3,0,1,Featherweight,S-DEC,,3,5:00
"February 08, 2020","Houston, Texas, USA",win,Derrick Lewis,Ilir Latifi,0,0,20,5,0,3,0,0,Heavyweight,U-DEC,,3,5:00
"February 08, 2020","Houston, Texas, USA",win,Trevin Giles,James Krause,0,0,71,44,0,1,1,4,Middleweight,S-DEC,,3,5:00
"February 08, 2020","Houston, Texas, USA",win,Lauren Murphy,Andrea Lee,0,0,80,104,2,0,0,1,Women's Flyweight,S-DEC,,3,5:00
"February 08, 2020","Houston, Texas, USA",win,Khaos Williams,Alex Morono,1,0,10,1,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:27
"February 08, 2020","Houston, Texas, USA",win,Mario Bautista,Miles Johns,1,0,18,13,0,0,0,0,Bantamweight,KO/TKO,Flying Knee,2,1:41
"February 08, 2020","Houston, Texas, USA",ncnc,Domingo Pilarte,Journey Newson,0,1,1,6,0,0,0,0,Bantamweight,Overturned,Punch,1,0:38
"February 08, 2020","Houston, Texas, USA",win,Andre Ewell,Jonathan Martinez,0,0,80,66,0,0,0,0,Bantamweight,S-DEC,,3,5:00
"February 08, 2020","Houston, Texas, USA",win,Youssef Zalal,Austin Lingo,0,0,31,12,6,1,2,0,Featherweight,U-DEC,,3,5:00
