Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 12, 2022","New York City, New York, USA",win,Alex Pereira,Israel Adesanya,0,0,91,86,1,1,0,0,Middleweight,KO/TKO,Punches,5,2:01
"November 12, 2022","New York City, New York, USA",win,Zhang Weili,Carla Esparza,0,0,37,6,0,1,1,0,Women's Strawweight,SUB,Rear Naked Choke,2,1:05
"November 12, 2022","New York City, New York, USA",win,Dustin Poirier,Michael Chandler,0,0,38,43,0,3,2,0,Lightweight,SUB,Rear Naked Choke,3,2:00
"November 12, 2022","New York City, New York, USA",win,Chris Gutierrez,Frankie Edgar,1,0,10,2,0,0,0,0,Bantamweight,KO/TKO,Knee,1,2:01
"November 12, 2022","New York City, New York, USA",win,Dan Hooker,Claudio Puelles,1,0,29,5,0,0,1,1,Lightweight,KO/TKO,Kick,2,4:06
"November 12, 2022","New York City, New York, USA",win,Renato Moicano,Brad Riddell,0,0,10,14,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,3:20
"November 12, 2022","New York City, New York, USA",win,Ryan Spann,Dominick Reyes,1,0,8,5,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:20
"November 12, 2022","New York City, New York, USA",win,Erin Blanchfield,Molly McCann,0,0,25,7,1,0,2,0,Women's Flyweight,SUB,Kimura,1,3:37
"November 12, 2022","New York City, New York, USA",win,Andre Petroski,Wellington Turman,0,0,42,41,8,1,2,1,Middleweight,U-DEC,,3,5:00
"November 12, 2022","New York City, New York, USA",win,Matt Frevola,Ottman Azaitar,1,0,11,10,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:30
"November 12, 2022","New York City, New York, USA",win,Karolina Kowalkiewicz,Silvana Gomez Juarez,0,0,74,77,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"November 12, 2022","New York City, New York, USA",win,Michael Trizano,SeungWoo Choi,2,1,32,26,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:51
"November 12, 2022","New York City, New York, USA",win,Montel Jackson,Julio Arce,1,0,48,26,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"November 12, 2022","New York City, New York, USA",win,Carlos Ulberg,Nicolae Negumereanu,1,0,14,2,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:44
