Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 30, 2016","Newark, New Jersey, USA",win,Anthony Johnson,Ryan Bader,0,0,11,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,1:26
"January 30, 2016","Newark, New Jersey, USA",win,Ben Rothwell,Josh Barnett,0,0,35,35,0,0,1,0,Heavyweight,SUB,Guillotine Choke,2,3:48
"January 30, 2016","Newark, New Jersey, USA",win,Jimmie Rivera,Iuri Alcantara,0,0,45,41,3,0,0,0,Bantamweight,U-DEC,,3,5:00
"January 30, 2016","Newark, New Jersey, USA",win,Bryan Barberena,Sage Northcutt,0,0,26,18,1,1,1,0,Welterweight,SUB,Arm Triangle,2,3:06
"January 30, 2016","Newark, New Jersey, USA",win,Tarec Saffiedine,Jake Ellenberger,0,0,54,30,0,0,0,0,Welterweight,U-DEC,,3,5:00
"January 30, 2016","Newark, New Jersey, USA",win,Diego Ferreira,Olivier Aubin-Mercier,0,0,65,49,0,1,0,0,Lightweight,U-DEC,,3,5:00
"January 30, 2016","Newark, New Jersey, USA",win,Rafael Natal,Kevin Casey,1,0,54,16,4,0,0,0,Middleweight,KO/TKO,Punches,3,3:37
"January 30, 2016","Newark, New Jersey, USA",win,Wilson Reis,Dustin Ortiz,0,0,48,45,9,1,0,0,Flyweight,U-DEC,,3,5:00
"January 30, 2016","Newark, New Jersey, USA",win,Alexander Yakovlev,George Sullivan,1,0,15,14,2,0,0,0,Welterweight,KO/TKO,Punches,1,3:59
"January 30, 2016","Newark, New Jersey, USA",win,Alex Caceres,Masio Fullen,0,0,74,36,1,0,0,0,Featherweight,U-DEC,,3,5:00
"January 30, 2016","Newark, New Jersey, USA",win,Randy Brown,Matt Dwyer,0,0,48,46,1,1,1,0,Welterweight,U-DEC,,3,5:00
"January 30, 2016","Newark, New Jersey, USA",drawdraw,Damon Jackson,Levan Makashvili,0,0,44,65,0,2,0,0,Featherweight,M-DEC,,3,5:00
"January 30, 2016","Newark, New Jersey, USA",win,Anthony Rocco Martin,Felipe Olivieri,0,0,60,87,2,0,1,0,Lightweight,SUB,Rear Naked Choke,3,3:02
