Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 14, 2018","Boise, Idaho, USA",win,Junior Dos Santos,Blagoy Ivanov,0,0,110,51,0,0,0,0,Heavyweight,U-DEC,,5,5:00
"July 14, 2018","Boise, Idaho, USA",win,Sage Northcutt,Zak Ottow,1,1,24,6,1,1,1,1,Welterweight,KO/TKO,Punch,2,3:13
"July 14, 2018","Boise, Idaho, USA",win,Ricky Glenn,Dennis Bermudez,0,0,48,42,0,6,1,0,Featherweight,S-DEC,,3,5:00
"July 14, 2018","Boise, Idaho, USA",win,Niko Price,Randy Brown,0,0,12,13,1,1,0,0,Welterweight,KO/TKO,Punch,2,1:09
"July 14, 2018","Boise, Idaho, USA",win,Chad Mendes,Myles Jury,1,0,17,3,0,0,0,0,Featherweight,KO/TKO,Punch,1,2:52
"July 14, 2018","Boise, Idaho, USA",win,Cat Zingano,Marion Reneau,0,0,33,14,6,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"July 14, 2018","Boise, Idaho, USA",win,Alejandro Perez,Eddie Wineland,0,0,53,48,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"July 14, 2018","Boise, Idaho, USA",win,Alexander Volkanovski,Darren Elkins,2,0,100,82,2,1,3,0,Featherweight,U-DEC,,3,5:00
"July 14, 2018","Boise, Idaho, USA",win,Said Nurmagomedov,Justin Scoggins,0,0,65,32,1,0,0,0,Flyweight,S-DEC,,3,5:00
"July 14, 2018","Boise, Idaho, USA",win,Raoni Barcelos,Kurt Holobaugh,1,0,82,102,3,1,0,0,Featherweight,KO/TKO,Punch,3,1:29
"July 14, 2018","Boise, Idaho, USA",win,Liz Carmouche,Jennifer Maia,0,0,53,42,3,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"July 14, 2018","Boise, Idaho, USA",win,Mark De La Rosa,Elias Garcia,0,0,25,19,2,0,1,0,Flyweight,SUB,Rear Naked Choke,2,2:00
"July 14, 2018","Boise, Idaho, USA",win,Jessica Aguilar,Jodie Esquibel,0,0,128,81,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
