Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Derrick Lewis,Travis Browne,1,0,39,21,0,0,0,0,Heavyweight,KO/TKO,Punch,2,3:12
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Johny Hendricks,Hector Lombard,0,0,51,37,0,2,0,0,Middleweight,U-DEC,,3,5:00
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Gavin Tucker,Sam Sicilia,0,0,55,10,1,0,0,0,Featherweight,U-DEC,,3,5:00
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Elias Theodorou,Cezar Ferreira,0,0,38,11,1,3,0,2,Middleweight,U-DEC,,3,5:00
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Sara McMann,Gina Mazany,0,0,7,0,2,0,1,0,Women's Bantamweight,SUB,Arm Triangle,1,1:14
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Paul Felder,Alex Ricci,1,0,23,21,0,0,0,0,Lightweight,KO/TKO,Elbow,1,4:44
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Santiago Ponzinibbio,Nordine Taleb,1,0,53,48,0,0,0,0,Welterweight,U-DEC,,3,5:00
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Randa Markos,Carla Esparza,0,0,48,32,0,4,0,1,Women's Strawweight,S-DEC,,3,5:00
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Aiemann Zahabi,Reginaldo Vieira,1,0,44,64,0,2,0,0,Bantamweight,U-DEC,,3,5:00
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Thiago Santos,Jack Marshman,1,1,27,6,1,0,0,0,Middleweight,KO/TKO,Kick,2,2:21
"February 19, 2017","Halifax, Nova Scotia, Canada",win,Gerald Meerschaert,Ryan Janes,0,0,3,3,0,1,1,0,Middleweight,SUB,Armbar,1,1:34
