Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 09, 2019","Melbourne, Victoria, Australia",win,Israel Adesanya,Anderson Silva,0,0,65,31,0,0,0,0,Middleweight,U-DEC,,3,5:00
"February 09, 2019","Melbourne, Victoria, Australia",win,Lando Vannata,Marcos Mariano,0,0,20,3,1,0,1,0,Lightweight,SUB,Kimura,1,4:55
"February 09, 2019","Melbourne, Victoria, Australia",win,Ricky Simon,Rani Yahya,2,0,54,47,4,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 09, 2019","Melbourne, Victoria, Australia",win,Montana De La Rosa,Nadia Kassem,0,0,21,5,2,0,3,0,Women's Flyweight,SUB,Armbar,2,2:37
"February 09, 2019","Melbourne, Victoria, Australia",win,Jimmy Crute,Sam Alvey,1,0,14,3,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:49
"February 09, 2019","Melbourne, Victoria, Australia",win,Devonte Smith,Dong Hyun Ma,1,0,19,1,0,0,0,0,Lightweight,KO/TKO,Punch,1,3:53
"February 09, 2019","Melbourne, Victoria, Australia",win,Shane Young,Austin Arnett,1,0,120,77,0,0,0,0,Featherweight,U-DEC,,3,5:00
"February 09, 2019","Melbourne, Victoria, Australia",win,Kai Kara-France,Raulian Paiva,0,0,58,67,2,0,0,1,Flyweight,S-DEC,,3,5:00
"February 09, 2019","Melbourne, Victoria, Australia",win,Kyung Ho Kang,Teruto Ishihara,1,1,26,17,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,3:59
"February 09, 2019","Melbourne, Victoria, Australia",win,Jalin Turner,Callan Potter,1,0,9,3,0,0,0,0,Lightweight,KO/TKO,Kick,1,0:53
"February 09, 2019","Melbourne, Victoria, Australia",win,Jonathan Martinez,Wulijiburen,0,0,47,17,1,3,0,1,Bantamweight,U-DEC,,3,5:00
