Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 02, 2012","Sydney, New South Wales, Australia",win,Martin Kampmann,Thiago Alves,0,0,47,62,1,2,1,0,Welterweight,SUB,Guillotine Choke,3,4:12
"March 02, 2012","Sydney, New South Wales, Australia",win,Joseph Benavidez,Yasuhiro Urushitani,1,0,18,8,1,0,1,0,Flyweight,KO/TKO,Punch,2,0:11
"March 02, 2012","Sydney, New South Wales, Australia",drawdraw,Demetrious Johnson,Ian McCall,0,0,75,61,0,4,0,0,Flyweight,M-DEC,,3,5:00
"March 02, 2012","Sydney, New South Wales, Australia",win,Constantinos Philippou,Court McGee,0,0,60,58,0,0,0,0,Middleweight,U-DEC,,3,5:00
"March 02, 2012","Sydney, New South Wales, Australia",win,James Te Huna,Aaron Rosa,0,0,22,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:08
"March 02, 2012","Sydney, New South Wales, Australia",win,Anthony Perosh,Nick Penner,0,0,25,5,2,0,0,0,Light Heavyweight,KO/TKO,Punches,1,4:59
"March 02, 2012","Sydney, New South Wales, Australia",win,Steven Siler,Cole Miller,0,0,81,72,1,1,1,0,Featherweight,U-DEC,,3,5:00
"March 02, 2012","Sydney, New South Wales, Australia",win,Andrew Craig,Kyle Noke,0,0,36,36,1,3,0,1,Middleweight,U-DEC,,3,5:00
"March 02, 2012","Sydney, New South Wales, Australia",win,TJ Waldburger,Jake Hecht,0,0,3,2,1,0,1,0,Welterweight,SUB,Armbar,1,0:55
"March 02, 2012","Sydney, New South Wales, Australia",win,Daniel Pineda,Mackens Semerzier,1,0,14,9,0,0,2,0,Featherweight,SUB,Armbar,1,2:05
"March 02, 2012","Sydney, New South Wales, Australia",win,Shawn Jordan,Oli Thompson,0,0,64,29,0,0,0,1,Heavyweight,KO/TKO,Punches,2,3:53
