Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 16, 1994","Tulsa, Oklahoma, USA",win,Royce Gracie,Dan Severn,0,0,0,4,0,1,3,0,Open Weight,SUB,Triangle Choke,1,15:49
"December 16, 1994","Tulsa, Oklahoma, USA",win,Dan Severn,Marcus Bossett,0,0,0,1,1,0,1,0,Open Weight,SUB,Arm Triangle,1,0:52
"December 16, 1994","Tulsa, Oklahoma, USA",win,Royce Gracie,Keith Hackney,0,0,11,4,0,0,3,0,Open Weight,SUB,Armbar,1,5:32
"December 16, 1994","Tulsa, Oklahoma, USA",win,Dan Severn,Anthony Macias,0,0,0,8,2,0,1,0,Open Weight,SUB,Rear Naked Choke,1,1:45
"December 16, 1994","Tulsa, Oklahoma, USA",win,Steve Jennum,Melton Bowen,0,0,13,1,2,0,1,0,Open Weight,SUB,Armbar,1,4:47
"December 16, 1994","Tulsa, Oklahoma, USA",win,Keith Hackney,Joe Son,0,0,8,0,0,1,1,1,Open Weight,SUB,Other - Choke,1,2:44
"December 16, 1994","Tulsa, Oklahoma, USA",win,Royce Gracie,Ron van Clief,0,0,7,0,1,0,1,0,Open Weight,SUB,Rear Naked Choke,1,3:49
"December 16, 1994","Tulsa, Oklahoma, USA",win,Guy Mezger,Jason Fairn,0,1,19,9,1,0,0,0,Open Weight,KO/TKO,,1,2:13
"December 16, 1994","Tulsa, Oklahoma, USA",win,Marcus Bossett,Eldo Xavier Dias,--,--,--,--,--,--,--,--,Open Weight,KO/TKO,,1,4:55
"December 16, 1994","Tulsa, Oklahoma, USA",win,Joe Charles,Kevin Rosier,--,--,--,--,--,--,--,--,Open Weight,SUB,Armbar,1,0:14
