Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 10, 2023","Vancouver, British Columbia, Canada",win,Amanda Nunes,Irene Aldana,0,0,142,41,6,0,0,0,Women's Bantamweight,U-DEC,,5,5:00
"June 10, 2023","Vancouver, British Columbia, Canada",win,Charles Oliveira,Beneil Dariush,1,0,26,12,0,0,0,0,Lightweight,KO/TKO,Punches,1,4:10
"June 10, 2023","Vancouver, British Columbia, Canada",win,Mike Malott,Adam Fugitt,1,0,19,9,2,0,1,0,Welterweight,SUB,Guillotine Choke,2,1:06
"June 10, 2023","Vancouver, British Columbia, Canada",win,Dan Ige,Nate Landwehr,1,0,88,74,0,0,0,0,Featherweight,U-DEC,,3,5:00
"June 10, 2023","Vancouver, British Columbia, Canada",win,Marc-Andre Barriault,Eryk Anders,1,0,95,83,0,1,0,0,Middleweight,U-DEC,,3,5:00
"June 10, 2023","Vancouver, British Columbia, Canada",ncnc,Nassourdine Imavov,Chris Curtis,0,0,57,26,3,0,1,0,Middleweight,CNC,,2,3:04
"June 10, 2023","Vancouver, British Columbia, Canada",win,Jasmine Jasudavicius,Miranda Maverick,0,0,67,63,1,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"June 10, 2023","Vancouver, British Columbia, Canada",win,Aiemann Zahabi,Aoriqileng,1,0,5,5,0,0,0,0,Bantamweight,KO/TKO,Punch,1,1:04
"June 10, 2023","Vancouver, British Columbia, Canada",win,Kyle Nelson,Blake Bilder,0,0,59,45,0,0,0,0,Featherweight,U-DEC,,3,5:00
"June 10, 2023","Vancouver, British Columbia, Canada",win,Steve Erceg,David Dvorak,0,0,54,53,3,1,1,0,Flyweight,U-DEC,,3,5:00
"June 10, 2023","Vancouver, British Columbia, Canada",win,Diana Belbita,Maria Oliveira,0,0,106,64,1,2,0,0,Women's Strawweight,U-DEC,,3,5:00
