Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 08, 2015","Nashville, Tennessee, USA",win,Glover Teixeira,Ovince Saint Preux,0,0,53,30,5,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,3,3:10
"August 08, 2015","Nashville, Tennessee, USA",win,Beneil Dariush,Michael Johnson,0,0,75,84,0,0,0,0,Lightweight,S-DEC,,3,5:00
"August 08, 2015","Nashville, Tennessee, USA",win,Derek Brunson,Sam Alvey,0,0,27,4,0,0,0,0,Middleweight,KO/TKO,Punches,1,2:19
"August 08, 2015","Nashville, Tennessee, USA",win,Jared Rosholt,Timothy Johnson,0,0,19,26,2,3,1,0,Heavyweight,U-DEC,,3,5:00
"August 08, 2015","Nashville, Tennessee, USA",win,Amanda Nunes,Sara McMann,1,0,27,2,0,0,1,0,Women's Bantamweight,SUB,Rear Naked Choke,1,2:53
"August 08, 2015","Nashville, Tennessee, USA",win,Ray Borg,Geane Herrera,0,0,26,7,3,0,2,0,Flyweight,U-DEC,,3,5:00
"August 08, 2015","Nashville, Tennessee, USA",win,Uriah Hall,Oluwale Bamgbose,0,0,11,7,1,0,0,0,Middleweight,KO/TKO,Punches,1,2:32
"August 08, 2015","Nashville, Tennessee, USA",win,Chris Camozzi,Tom Watson,0,0,87,82,3,1,2,0,Middleweight,U-DEC,,3,5:00
"August 08, 2015","Nashville, Tennessee, USA",win,Dustin Ortiz,Willie Gates,0,0,92,13,4,0,1,0,Flyweight,KO/TKO,Punches,3,2:58
"August 08, 2015","Nashville, Tennessee, USA",win,Frankie Saenz,Sirwan Kakai,0,0,80,55,1,3,1,0,Bantamweight,S-DEC,,3,5:00
"August 08, 2015","Nashville, Tennessee, USA",win,Jonathan Wilson,Chris Dempsey,1,0,4,0,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:50
"August 08, 2015","Nashville, Tennessee, USA",win,Marlon Vera,Roman Salazar,0,0,25,14,0,1,2,0,Bantamweight,SUB,Triangle Armbar,2,2:15
"August 08, 2015","Nashville, Tennessee, USA",win,Scott Holtzman,Anthony Christodoulou,0,0,71,31,1,0,1,0,Lightweight,SUB,Rear Naked Choke,3,2:40
