Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 28, 2011","Las Vegas, Nevada, USA",win,Quinton Jackson,Matt Hamill,0,0,55,32,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"May 28, 2011","Las Vegas, Nevada, USA",win,Frank Mir,Roy Nelson,0,0,46,21,6,0,0,0,Heavyweight,U-DEC,,3,5:00
"May 28, 2011","Las Vegas, Nevada, USA",win,Travis Browne,Stefan Struve,1,0,17,10,1,0,0,2,Heavyweight,KO/TKO,Punch,1,4:11
"May 28, 2011","Las Vegas, Nevada, USA",win,Rick Story,Thiago Alves,0,0,62,41,4,1,0,0,Welterweight,U-DEC,,3,5:00
"May 28, 2011","Las Vegas, Nevada, USA",win,Brian Stann,Jorge Santiago,2,0,47,14,0,0,0,0,Middleweight,KO/TKO,Punch,2,4:29
"May 28, 2011","Las Vegas, Nevada, USA",win,Demetrious Johnson,Miguel Torres,0,0,13,10,5,0,0,3,Bantamweight,U-DEC,,3,5:00
"May 28, 2011","Las Vegas, Nevada, USA",win,Tim Boetsch,Kendall Grove,0,0,17,20,7,1,0,0,Middleweight,U-DEC,,3,5:00
"May 28, 2011","Las Vegas, Nevada, USA",win,Gleison Tibau,Rafaello Oliveira,1,0,19,12,3,0,2,0,Lightweight,SUB,Rear Naked Choke,2,3:28
"May 28, 2011","Las Vegas, Nevada, USA",win,Michael McDonald,Chris Cariaso,0,0,32,44,1,1,0,0,Bantamweight,S-DEC,,3,5:00
"May 28, 2011","Las Vegas, Nevada, USA",win,Renan Barao,Cole Escovedo,0,0,46,29,6,0,0,0,Bantamweight,U-DEC,,3,5:00
