Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 31, 2014","Berlin, Germany",win,Gegard Mousasi,Mark Munoz,0,0,18,3,0,0,2,0,Middleweight,SUB,Rear Naked Choke,1,3:57
"May 31, 2014","Berlin, Germany",win,CB Dollaway,Francis Carmont,1,0,44,29,3,1,0,1,Middleweight,U-DEC,,3,5:00
"May 31, 2014","Berlin, Germany",win,Sean Strickland,Luke Barnatt,0,0,48,44,1,0,0,0,Middleweight,S-DEC,,3,5:00
"May 31, 2014","Berlin, Germany",win,Niklas Backstrom,Tom Niinimaki,0,0,5,7,0,2,2,0,Featherweight,SUB,Rear Naked Choke,1,4:15
"May 31, 2014","Berlin, Germany",win,Nick Hein,Drew Dober,0,0,50,49,2,0,0,0,Lightweight,U-DEC,,3,5:00
"May 31, 2014","Berlin, Germany",win,Magnus Cedenblad,Krzysztof Jotko,0,0,17,15,3,0,1,0,Middleweight,SUB,Guillotine Choke,2,4:59
"May 31, 2014","Berlin, Germany",win,Iuri Alcantara,Vaughan Lee,1,0,5,4,0,0,0,0,Bantamweight,KO/TKO,Punch,1,0:25
"May 31, 2014","Berlin, Germany",win,Peter Sobotta,Pawel Pawlak,0,0,47,21,3,0,0,0,Welterweight,U-DEC,,3,5:00
"May 31, 2014","Berlin, Germany",win,Maximo Blanco,Andy Ogle,1,0,60,44,1,1,0,0,Featherweight,U-DEC,,3,5:00
"May 31, 2014","Berlin, Germany",win,Ruslan Magomedov,Viktor Pesta,0,0,47,26,0,1,0,0,Heavyweight,U-DEC,,3,5:00
