Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 17, 2023","Las Vegas, Nevada, USA",win,Jared Cannonier,Marvin Vettori,0,0,241,153,4,1,0,0,Middleweight,U-DEC,,5,5:00
"June 17, 2023","Las Vegas, Nevada, USA",win,Arman Tsarukyan,Joaquim Silva,0,0,80,23,4,0,0,0,Lightweight,KO/TKO,Punches,3,3:25
"June 17, 2023","Las Vegas, Nevada, USA",win,Armen Petrosyan,Christian Leroy Duncan,0,0,89,59,1,0,0,0,Middleweight,U-DEC,,3,5:00
"June 17, 2023","Las Vegas, Nevada, USA",win,Pat Sabatini,Lucas Almeida,0,0,27,2,2,0,1,0,Featherweight,SUB,Arm Triangle,2,1:48
"June 17, 2023","Las Vegas, Nevada, USA",win,Manuel Torres,Nikolas Motta,1,0,13,7,0,0,0,0,Lightweight,KO/TKO,Elbow,1,1:50
"June 17, 2023","Las Vegas, Nevada, USA",win,Nicolas Dalby,Muslim Salikhov,0,0,86,57,2,2,0,0,Welterweight,U-DEC,,3,5:00
"June 17, 2023","Las Vegas, Nevada, USA",win,Alessandro Costa,Jimmy Flick,1,0,65,14,0,0,0,0,Flyweight,KO/TKO,Elbows,2,1:03
"June 17, 2023","Las Vegas, Nevada, USA",win,Kyung Ho Kang,Cristian Quinonez,1,0,22,13,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,2:25
"June 17, 2023","Las Vegas, Nevada, USA",win,Carlos Hernandez,Denys Bondar,0,0,102,76,2,2,0,0,Flyweight,U-DEC,,3,4:59
"June 17, 2023","Las Vegas, Nevada, USA",win,Tereza Bleda,Gabriella Fernandes,0,0,57,23,3,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"June 17, 2023","Las Vegas, Nevada, USA",ncnc,Dan Argueta,Ronnie Lawrence,0,0,4,1,1,0,2,0,Bantamweight,Overturned,,1,2:20
"June 17, 2023","Las Vegas, Nevada, USA",win,Modestas Bukauskas,Zac Pauga,0,0,56,67,0,1,0,0,Light Heavyweight,U-DEC,,3,5:00
