Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 02, 2008","Broomfield, Colorado, USA",win,Kenny Florian,Joe Lauzon,0,0,35,5,2,2,0,2,Lightweight,KO/TKO,Punches,2,3:28
"April 02, 2008","Broomfield, Colorado, USA",win,Gray Maynard,Frankie Edgar,0,0,19,26,9,1,0,0,Lightweight,U-DEC,,3,5:00
"April 02, 2008","Broomfield, Colorado, USA",win,Thiago Alves,Karo Parisyan,1,0,17,10,0,1,0,0,Welterweight,KO/TKO,Knees,2,0:24
"April 02, 2008","Broomfield, Colorado, USA",win,Matt Hamill,Tim Boetsch,0,0,31,18,1,0,0,0,Light Heavyweight,KO/TKO,Punches,2,1:25
"April 02, 2008","Broomfield, Colorado, USA",win,Nate Diaz,Kurt Pellegrino,0,0,6,20,1,3,1,0,Lightweight,SUB,Triangle Choke,2,3:06
"April 02, 2008","Broomfield, Colorado, USA",win,James Irvin,Houston Alexander,1,0,3,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:08
"April 02, 2008","Broomfield, Colorado, USA",win,Josh Neer,Din Thomas,0,0,80,20,3,2,0,0,Lightweight,U-DEC,,3,5:00
"April 02, 2008","Broomfield, Colorado, USA",win,Marcus Aurelio,Ryan Roberts,1,0,6,0,0,0,1,0,Lightweight,SUB,Armbar,1,0:16
"April 02, 2008","Broomfield, Colorado, USA",win,Manvel Gamburyan,Jeff Cox,0,0,3,2,1,0,1,0,Lightweight,SUB,Guillotine Choke,1,1:41
"April 02, 2008","Broomfield, Colorado, USA",win,Clay Guida,Samy Schiavo,0,0,11,4,1,0,0,0,Lightweight,KO/TKO,Punches,1,4:15
"April 02, 2008","Broomfield, Colorado, USA",win,George Sotiropoulos,Roman Mitichyan,0,0,21,2,3,0,3,0,Welterweight,KO/TKO,Punches,2,2:24
"April 02, 2008","Broomfield, Colorado, USA",win,Anthony Johnson,Tommy Speer,1,0,15,0,0,0,0,0,Welterweight,KO/TKO,Punches,1,0:51
