Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 09, 2017","Fresno, California, USA",win,Brian Ortega,Cub Swanson,0,0,24,60,0,0,2,0,Featherweight,SUB,Guillotine Choke,2,3:22
"December 09, 2017","Fresno, California, USA",win,Gabriel Benitez,Jason Knight,0,0,85,36,0,1,0,0,Featherweight,U-DEC,,3,5:00
"December 09, 2017","Fresno, California, USA",win,Marlon Moraes,Aljamain Sterling,2,0,7,3,0,0,0,0,Bantamweight,KO/TKO,Knee,1,1:07
"December 09, 2017","Fresno, California, USA",win,Scott Holtzman,Darrell Horcher,0,0,49,36,7,1,0,0,Lightweight,U-DEC,,3,5:00
"December 09, 2017","Fresno, California, USA",win,Eryk Anders,Markus Perez,0,0,79,30,2,2,0,1,Middleweight,U-DEC,,3,5:00
"December 09, 2017","Fresno, California, USA",win,Benito Lopez,Albert Morales,1,0,78,78,0,0,1,0,Bantamweight,U-DEC,,3,5:00
"December 09, 2017","Fresno, California, USA",win,Alexis Davis,Liz Carmouche,0,0,23,49,1,4,2,0,Women's Flyweight,S-DEC,,3,5:00
"December 09, 2017","Fresno, California, USA",win,Andre Soukhamthath,Luke Sanders,1,0,20,23,0,0,0,0,Bantamweight,KO/TKO,Punches,2,1:06
"December 09, 2017","Fresno, California, USA",win,Alex Perez,Carls John De Tomas,0,0,24,8,2,0,3,0,Bantamweight,SUB,Anaconda Choke,2,1:54
"December 09, 2017","Fresno, California, USA",win,Frankie Saenz,Merab Dvalishvili,0,0,58,47,0,11,0,0,Bantamweight,S-DEC,,3,5:00
"December 09, 2017","Fresno, California, USA",win,Alejandro Perez,Iuri Alcantara,0,0,35,38,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"December 09, 2017","Fresno, California, USA",win,Davi Ramos,Chris Gruetzemacher,0,0,55,46,5,0,1,0,Lightweight,SUB,Rear Naked Choke,3,0:50
"December 09, 2017","Fresno, California, USA",win,Trevin Giles,Antonio Braga Neto,1,0,70,18,0,2,0,0,Middleweight,KO/TKO,Punches,3,2:27
