Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 03, 2016","Las Vegas, Nevada, USA",win,Demetrious Johnson,Tim Elliott,0,0,28,24,5,4,3,2,Flyweight,U-DEC,,5,5:00
"December 03, 2016","Las Vegas, Nevada, USA",win,Joseph Benavidez,Henry Cejudo,0,1,69,68,0,1,0,0,Flyweight,S-DEC,,3,5:00
"December 03, 2016","Las Vegas, Nevada, USA",win,Jorge Masvidal,Jake Ellenberger,0,0,44,11,0,0,0,0,Welterweight,KO/TKO,Punches,1,4:05
"December 03, 2016","Las Vegas, Nevada, USA",win,Jared Cannonier,Ion Cutelaba,0,0,59,45,0,6,0,0,Light Heavyweight,U-DEC,,3,5:00
"December 03, 2016","Las Vegas, Nevada, USA",win,Sara McMann,Alexis Davis,0,0,14,21,2,0,1,1,Women's Bantamweight,SUB,Arm Triangle,2,2:52
"December 03, 2016","Las Vegas, Nevada, USA",win,Brandon Moreno,Ryan Benoit,0,1,54,23,5,0,0,0,Flyweight,S-DEC,,3,5:00
"December 03, 2016","Las Vegas, Nevada, USA",win,Ryan Hall,Gray Maynard,0,0,46,12,0,0,0,0,Featherweight,U-DEC,,3,5:00
"December 03, 2016","Las Vegas, Nevada, USA",win,Rob Font,Matt Schnell,1,0,26,14,1,0,1,0,Bantamweight,KO/TKO,Punch,1,3:47
"December 03, 2016","Las Vegas, Nevada, USA",win,Dong Hyun Ma,Brendan O'Reilly,0,0,21,25,4,0,0,1,Lightweight,U-DEC,,3,5:00
"December 03, 2016","Las Vegas, Nevada, USA",win,Jamie Moyle,Kailin Curran,0,0,73,47,3,0,0,1,Women's Strawweight,U-DEC,,3,5:00
"December 03, 2016","Las Vegas, Nevada, USA",win,Anthony Smith,Elvis Mutapcic,1,0,48,29,0,0,1,0,Middleweight,KO/TKO,Elbow,2,3:27
"December 03, 2016","Las Vegas, Nevada, USA",win,Devin Clark,Josh Stansbury,0,0,47,36,1,0,0,2,Light Heavyweight,U-DEC,,3,5:00
