Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 15, 2020","Las Vegas, Nevada, USA",win,Stipe Miocic,Daniel Cormier,1,0,115,105,0,1,0,0,Heavyweight,U-DEC,,5,5:00
"August 15, 2020","Las Vegas, Nevada, USA",win,Marlon Vera,Sean O'Malley,0,0,18,10,0,0,0,0,Bantamweight,KO/TKO,Elbows,1,4:40
"August 15, 2020","Las Vegas, Nevada, USA",win,Jairzinho Rozenstruik,Junior Dos Santos,1,0,42,24,0,0,0,0,Heavyweight,KO/TKO,Punch,2,3:47
"August 15, 2020","Las Vegas, Nevada, USA",win,Daniel Pineda,Herbert Burns,0,0,57,10,1,3,0,0,Featherweight,KO/TKO,Elbows,2,4:37
"August 15, 2020","Las Vegas, Nevada, USA",win,Merab Dvalishvili,John Dodson,0,0,50,27,2,0,0,0,Bantamweight,U-DEC,,3,5:00
"August 15, 2020","Las Vegas, Nevada, USA",win,Vinc Pichel,Jim Miller,0,0,41,14,3,2,0,2,Lightweight,U-DEC,,3,5:00
"August 15, 2020","Las Vegas, Nevada, USA",win,Virna Jandiroba,Felice Herrig,0,0,4,1,1,0,2,0,Women's Strawweight,SUB,Armbar,1,1:44
"August 15, 2020","Las Vegas, Nevada, USA",win,Danny Chavez,TJ Brown,0,0,49,43,4,0,0,0,Featherweight,U-DEC,,3,5:00
"August 15, 2020","Las Vegas, Nevada, USA",win,Livinha Souza,Ashley Yoder,0,0,46,32,1,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"August 15, 2020","Las Vegas, Nevada, USA",win,Chris Daukaus,Parker Porter,2,0,37,17,0,0,0,0,Heavyweight,KO/TKO,Knee,1,4:28
"August 15, 2020","Las Vegas, Nevada, USA",win,Kai Kamaka,Tony Kelley,0,0,114,114,5,0,0,0,Featherweight,U-DEC,,3,5:00
