Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 29, 2022","Las Vegas, Nevada, USA",win,Arnold Allen,Calvin Kattar,0,0,28,14,0,0,0,0,Featherweight,KO/TKO,,2,0:08
"October 29, 2022","Las Vegas, Nevada, USA",win,Max Griffin,Tim Means,1,0,42,47,3,3,0,0,Welterweight,S-DEC,,3,5:00
"October 29, 2022","Las Vegas, Nevada, USA",win,Waldo Cortes-Acosta,Jared Vanderaa,0,0,73,56,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"October 29, 2022","Las Vegas, Nevada, USA",win,Tresean Gore,Josh Fremd,0,0,10,24,3,0,1,0,Middleweight,SUB,Guillotine Choke,2,0:49
"October 29, 2022","Las Vegas, Nevada, USA",win,Khalil Rountree Jr.,Dustin Jacoby,0,0,85,120,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"October 29, 2022","Las Vegas, Nevada, USA",win,Roman Dolidze,Phil Hawes,1,0,18,11,0,1,1,0,Middleweight,KO/TKO,Punches,1,4:09
"October 29, 2022","Las Vegas, Nevada, USA",win,Marcos Rogerio de Lima,Andrei Arlovski,1,0,6,2,0,0,1,0,Heavyweight,SUB,Rear Naked Choke,1,1:50
"October 29, 2022","Las Vegas, Nevada, USA",win,JunYong Park,Joseph Holmes,0,0,18,20,2,0,2,0,Middleweight,SUB,Rear Naked Choke,2,3:04
"October 29, 2022","Las Vegas, Nevada, USA",win,Steve Garcia,Chase Hooper,3,0,29,10,0,0,0,0,Featherweight,KO/TKO,Punches,1,1:32
"October 29, 2022","Las Vegas, Nevada, USA",win,Cody Durden,Carlos Mota,0,0,17,12,4,0,0,1,Flyweight,U-DEC,,3,5:00
"October 29, 2022","Las Vegas, Nevada, USA",win,Christian Rodriguez,Joshua Weems,0,0,9,18,0,2,1,0,Bantamweight,SUB,Anaconda Choke,1,4:07
