Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 24, 2024","Las Vegas, Nevada, USA",win,Caio Borralho,Jared Cannonier,1,0,153,83,0,0,1,0,Middleweight,U-DEC,,5,5:00
"August 24, 2024","Las Vegas, Nevada, USA",win,Tabatha Ricci,Angela Hill,0,0,101,112,3,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"August 24, 2024","Las Vegas, Nevada, USA",win,Ryan Loder,Robert Valentin,0,0,42,1,1,0,1,2,Middleweight,KO/TKO,Elbows,2,1:49
"August 24, 2024","Las Vegas, Nevada, USA",win,Mairon Santos,Kaan Ofli,1,0,31,12,0,0,0,0,Featherweight,KO/TKO,Punch,2,1:30
"August 24, 2024","Las Vegas, Nevada, USA",win,Michael Morales,Neil Magny,1,0,34,5,0,0,0,0,Welterweight,KO/TKO,Punches,1,4:39
"August 24, 2024","Las Vegas, Nevada, USA",win,Gerald Meerschaert,Edmen Shahbazyan,0,0,21,48,1,0,1,0,Middleweight,SUB,Arm Triangle,2,4:12
"August 24, 2024","Las Vegas, Nevada, USA",win,Francis Marshall,Dennis Buzukja,1,0,57,66,1,0,0,0,Lightweight,S-DEC,,3,5:00
"August 24, 2024","Las Vegas, Nevada, USA",win,Zachary Reese,Jose Daniel Medina,0,0,75,32,5,1,1,0,Middleweight,U-DEC,,3,5:00
"August 24, 2024","Las Vegas, Nevada, USA",win,Viacheslav Borshchev,James Llontop,0,0,96,93,0,0,0,0,Lightweight,S-DEC,,3,5:00
"August 24, 2024","Las Vegas, Nevada, USA",win,Jacqueline Cavalcanti,Josiane Nunes,0,0,91,52,0,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
"August 24, 2024","Las Vegas, Nevada, USA",win,Wang Cong,Victoria Leonardo,1,0,10,1,0,0,0,0,Women's Flyweight,KO/TKO,Punches,1,1:02
