Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 29, 2010","Las Vegas, Nevada, USA",win,Rashad Evans,Quinton Jackson,0,1,29,17,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"May 29, 2010","Las Vegas, Nevada, USA",win,Michael Bisping,Dan Miller,0,0,76,50,0,1,0,0,Middleweight,U-DEC,,3,5:00
"May 29, 2010","Las Vegas, Nevada, USA",win,Mike Russow,Todd Duffee,1,0,14,51,0,0,0,0,Heavyweight,KO/TKO,Punch,3,2:35
"May 29, 2010","Las Vegas, Nevada, USA",win,Rogerio Nogueira,Jason Brilz,0,0,23,18,1,3,1,3,Light Heavyweight,S-DEC,,3,5:00
"May 29, 2010","Las Vegas, Nevada, USA",win,John Hathaway,Diego Sanchez,1,0,84,24,0,1,0,0,Welterweight,U-DEC,,3,5:00
"May 29, 2010","Las Vegas, Nevada, USA",win,Dong Hyun Kim,Amir Sadollah,0,0,30,10,6,0,0,0,Welterweight,U-DEC,,3,5:00
"May 29, 2010","Las Vegas, Nevada, USA",win,Efrain Escudero,Dan Lauzon,1,0,64,17,0,0,0,0,Lightweight,U-DEC,,3,5:00
"May 29, 2010","Las Vegas, Nevada, USA",win,Melvin Guillard,Waylon Lowe,1,0,14,1,0,1,0,0,Lightweight,KO/TKO,Knee,1,3:28
"May 29, 2010","Las Vegas, Nevada, USA",win,Cyrille Diabate,Luiz Cane,1,1,17,4,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:13
"May 29, 2010","Las Vegas, Nevada, USA",win,Aaron Riley,Joe Brammer,0,0,46,37,3,1,0,0,Lightweight,U-DEC,,3,5:00
"May 29, 2010","Las Vegas, Nevada, USA",win,Ryan Jensen,Jesse Forbes,0,1,3,3,0,1,1,1,Middleweight,SUB,Guillotine Choke,1,1:06
