Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 20, 2021","Las Vegas, Nevada, USA",win,Derrick Lewis,Curtis Blaydes,1,0,7,28,0,0,0,0,Heavyweight,KO/TKO,Punch,2,1:26
"February 20, 2021","Las Vegas, Nevada, USA",win,Yana Santos,Ketlen Vieira,0,0,47,7,0,3,0,0,Women's Bantamweight,U-DEC,,3,5:00
"February 20, 2021","Las Vegas, Nevada, USA",win,Darrick Minner,Charles Rosa,1,0,45,15,4,0,3,2,Featherweight,U-DEC,,3,5:00
"February 20, 2021","Las Vegas, Nevada, USA",win,Chris Daukaus,Aleksei Oleinik,0,0,34,5,0,0,0,0,Heavyweight,KO/TKO,Punches,1,1:55
"February 20, 2021","Las Vegas, Nevada, USA",win,Phil Hawes,Nassourdine Imavov,0,0,31,57,4,0,0,0,Middleweight,M-DEC,,3,5:00
"February 20, 2021","Las Vegas, Nevada, USA",win,Tom Aspinall,Andrei Arlovski,0,0,37,20,1,0,1,0,Heavyweight,SUB,Rear Naked Choke,2,1:09
"February 20, 2021","Las Vegas, Nevada, USA",win,Jared Gordon,Danny Chavez,0,0,82,39,2,1,0,0,Featherweight,U-DEC,,3,5:00
"February 20, 2021","Las Vegas, Nevada, USA",win,John Castaneda,Eddie Wineland,1,0,42,17,0,1,0,0,Bantamweight,KO/TKO,Punches,1,4:44
"February 20, 2021","Las Vegas, Nevada, USA",win,Julian Erosa,Nate Landwehr,1,0,15,9,0,0,0,0,Featherweight,KO/TKO,Flying Knee,1,0:56
"February 20, 2021","Las Vegas, Nevada, USA",win,Casey O'Neill,Shana Dobson,0,0,49,16,4,0,1,0,Women's Flyweight,KO/TKO,Punches,2,3:41
"February 20, 2021","Las Vegas, Nevada, USA",win,Aiemann Zahabi,Drako Rodriguez,1,0,9,11,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:05
"February 20, 2021","Las Vegas, Nevada, USA",win,Serghei Spivac,Jared Vanderaa,0,0,51,13,3,0,0,0,Heavyweight,KO/TKO,Punches,2,4:32
