Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 25, 2018","Lincoln, Nebraska, USA",win,Justin Gaethje,James Vick,1,0,7,10,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:27
"August 25, 2018","Lincoln, Nebraska, USA",win,Michael Johnson,Andre Fili,0,0,65,37,0,2,0,1,Featherweight,S-DEC,,3,5:00
"August 25, 2018","Lincoln, Nebraska, USA",win,Cortney Casey,Angela Hill,0,0,111,121,1,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"August 25, 2018","Lincoln, Nebraska, USA",win,Bryan Barberena,Jake Ellenberger,2,0,19,12,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:26
"August 25, 2018","Lincoln, Nebraska, USA",win,Deiveson Figueiredo,John Moraga,2,0,29,14,2,0,1,1,Flyweight,KO/TKO,Punch,2,3:08
"August 25, 2018","Lincoln, Nebraska, USA",win,Eryk Anders,Tim Williams,2,0,42,43,0,2,0,0,Middleweight,KO/TKO,Kick,3,4:42
"August 25, 2018","Lincoln, Nebraska, USA",win,James Krause,Warlley Alves,0,0,59,28,0,1,0,0,Welterweight,KO/TKO,Flying Knee,2,2:28
"August 25, 2018","Lincoln, Nebraska, USA",win,Cory Sandhagen,Iuri Alcantara,0,0,66,9,0,1,0,2,Bantamweight,KO/TKO,Punches,2,1:01
"August 25, 2018","Lincoln, Nebraska, USA",win,Andrew Sanchez,Markus Perez,0,0,73,54,0,0,0,0,Middleweight,U-DEC,,3,5:00
"August 25, 2018","Lincoln, Nebraska, USA",win,Mickey Gall,George Sullivan,0,0,0,0,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,1:09
"August 25, 2018","Lincoln, Nebraska, USA",win,Joanne Wood,Kalindra Faria,0,0,5,13,0,1,2,0,Women's Flyweight,SUB,Armbar,1,4:57
"August 25, 2018","Lincoln, Nebraska, USA",win,Drew Dober,Jon Tuck,0,0,60,33,2,0,0,1,Lightweight,U-DEC,,3,5:00
"August 25, 2018","Lincoln, Nebraska, USA",win,Rani Yahya,Luke Sanders,0,0,4,2,0,0,2,0,Bantamweight,SUB,Heel Hook,1,1:31
