Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 29, 2018","Los Angeles, California, USA",win,Jon Jones,Alexander Gustafsson,0,0,59,22,1,0,0,0,Light Heavyweight,KO/TKO,Punches,3,2:02
"December 29, 2018","Los Angeles, California, USA",win,Amanda Nunes,Cristiane Justino,2,0,13,3,0,0,0,0,Women's Featherweight,KO/TKO,Punches,1,0:51
"December 29, 2018","Los Angeles, California, USA",win,Michael Chiesa,Carlos Condit,0,0,10,5,4,0,1,1,Welterweight,SUB,Kimura,2,0:56
"December 29, 2018","Los Angeles, California, USA",win,Corey Anderson,Ilir Latifi,0,0,40,33,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"December 29, 2018","Los Angeles, California, USA",win,Alexander Volkanovski,Chad Mendes,1,1,54,28,0,3,0,0,Featherweight,KO/TKO,Punches,2,4:14
"December 29, 2018","Los Angeles, California, USA",ncnc,Andrei Arlovski,Walt Harris,0,0,44,24,0,1,0,0,Heavyweight,Overturned,,3,5:00
"December 29, 2018","Los Angeles, California, USA",win,Megan Anderson,Cat Zingano,0,0,3,3,0,0,0,0,Women's Featherweight,KO/TKO,Kick,1,1:01
"December 29, 2018","Los Angeles, California, USA",win,Petr Yan,Douglas Silva de Andrade,0,0,76,28,3,0,1,0,Bantamweight,KO/TKO,,2,5:00
"December 29, 2018","Los Angeles, California, USA",win,Ryan Hall,BJ Penn,0,0,6,3,0,0,1,0,Lightweight,SUB,Heel Hook,1,2:46
"December 29, 2018","Los Angeles, California, USA",win,Nathaniel Wood,Andre Ewell,1,0,61,15,2,0,1,0,Bantamweight,SUB,Rear Naked Choke,3,4:12
"December 29, 2018","Los Angeles, California, USA",win,Uriah Hall,Bevon Lewis,1,0,39,68,0,0,0,0,Middleweight,KO/TKO,Punch,3,1:32
"December 29, 2018","Los Angeles, California, USA",win,Curtis Millender,Siyar Bahadurzada,0,0,89,40,0,3,0,0,Welterweight,U-DEC,,3,5:00
"December 29, 2018","Los Angeles, California, USA",win,Montel Jackson,Brian Kelleher,0,0,10,6,0,0,1,0,Bantamweight,SUB,D'Arce Choke,1,1:40
