Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 29, 2019","Minneapolis, Minnesota, USA",win,Francis Ngannou,Junior Dos Santos,1,0,9,4,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:11
"June 29, 2019","Minneapolis, Minnesota, USA",win,Joseph Benavidez,Jussier Formiga,1,0,50,15,0,1,0,0,Flyweight,KO/TKO,Punches,2,4:47
"June 29, 2019","Minneapolis, Minnesota, USA",win,Demian Maia,Anthony Rocco Martin,0,0,3,22,3,0,0,0,Welterweight,M-DEC,,3,5:00
"June 29, 2019","Minneapolis, Minnesota, USA",win,Vinc Pichel,Roosevelt Roberts,0,0,60,31,3,2,1,0,Lightweight,U-DEC,,3,5:00
"June 29, 2019","Minneapolis, Minnesota, USA",win,Drew Dober,Marco Polo Reyes,1,0,16,5,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:07
"June 29, 2019","Minneapolis, Minnesota, USA",win,Alonzo Menifield,Paul Craig,0,0,8,7,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:19
"June 29, 2019","Minneapolis, Minnesota, USA",win,Ricardo Ramos,Journey Newson,0,0,40,38,3,0,0,1,Bantamweight,U-DEC,,3,5:00
"June 29, 2019","Minneapolis, Minnesota, USA",win,Eryk Anders,Vinicius Moreira,1,0,11,2,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:18
"June 29, 2019","Minneapolis, Minnesota, USA",win,Jared Gordon,Dan Moret,0,0,48,34,2,2,0,1,Lightweight,U-DEC,,3,5:00
"June 29, 2019","Minneapolis, Minnesota, USA",win,Dalcha Lungiambula,Dequan Townsend,1,0,32,13,4,0,0,0,Light Heavyweight,KO/TKO,Punch,3,0:42
"June 29, 2019","Minneapolis, Minnesota, USA",win,Amanda Ribas,Emily Whitmire,0,0,21,7,2,0,2,0,Women's Strawweight,SUB,Rear Naked Choke,2,2:10
"June 29, 2019","Minneapolis, Minnesota, USA",win,Maurice Greene,Junior Albini,2,0,37,19,0,0,0,0,Heavyweight,KO/TKO,Punch,1,3:38
