Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 23, 2009","Las Vegas, Nevada, USA",win,Lyoto Machida,Rashad Evans,3,0,28,4,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,3:57
"May 23, 2009","Las Vegas, Nevada, USA",win,Matt Hughes,Matt Serra,0,1,34,14,3,1,0,0,Welterweight,U-DEC,,3,5:00
"May 23, 2009","Las Vegas, Nevada, USA",win,Drew McFedries,Xavier Foupa-Pokam,2,0,8,0,0,0,0,0,Middleweight,KO/TKO,Punches,1,0:37
"May 23, 2009","Las Vegas, Nevada, USA",win,Chael Sonnen,Dan Miller,0,0,36,9,3,0,0,2,Middleweight,U-DEC,,3,5:00
"May 23, 2009","Las Vegas, Nevada, USA",win,Frankie Edgar,Sean Sherk,0,0,74,27,1,1,1,0,Lightweight,U-DEC,,3,5:00
"May 23, 2009","Las Vegas, Nevada, USA",win,Brock Larson,Mike Pyle,0,0,4,1,1,0,1,0,Welterweight,SUB,Arm Triangle,1,3:06
"May 23, 2009","Las Vegas, Nevada, USA",win,Tim Hague,Pat Barry,0,0,0,3,1,0,1,0,Heavyweight,SUB,Guillotine Choke,1,1:42
"May 23, 2009","Las Vegas, Nevada, USA",win,Kyle Bradley,Phillipe Nover,0,0,7,3,1,0,0,0,Lightweight,KO/TKO,Punches,1,1:03
"May 23, 2009","Las Vegas, Nevada, USA",win,Krzysztof Soszynski,Andre Gusmao,1,0,18,17,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:17
"May 23, 2009","Las Vegas, Nevada, USA",win,Yoshiyuki Yoshida,Brandon Wolff,0,0,4,2,0,0,1,0,Welterweight,SUB,Guillotine Choke,1,2:24
"May 23, 2009","Las Vegas, Nevada, USA",win,George Roop,David Kaplan,0,0,62,50,0,5,0,0,Lightweight,S-DEC,,3,5:00
