Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 29, 2009","Portland, Oregon, USA",win,Antonio Rodrigo Nogueira,Randy Couture,2,0,27,42,0,0,3,0,Heavyweight,U-DEC,,3,5:00
"August 29, 2009","Portland, Oregon, USA",win,Thiago Silva,Keith Jardine,1,0,5,3,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:35
"August 29, 2009","Portland, Oregon, USA",win,Jake Rosholt,Chris Leben,0,0,21,14,3,1,1,0,Middleweight,SUB,Arm Triangle,3,1:30
"August 29, 2009","Portland, Oregon, USA",win,Nate Marquardt,Demian Maia,1,0,1,0,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:21
"August 29, 2009","Portland, Oregon, USA",win,Brandon Vera,Krzysztof Soszynski,0,0,62,41,1,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"August 29, 2009","Portland, Oregon, USA",win,Aaron Simpson,Ed Herman,1,0,25,7,3,0,0,0,Middleweight,KO/TKO,,2,0:17
"August 29, 2009","Portland, Oregon, USA",win,Gabriel Gonzaga,Chris Tuchscherer,1,0,22,0,0,0,0,0,Heavyweight,KO/TKO,Punches,1,2:27
"August 29, 2009","Portland, Oregon, USA",win,Mike Russow,Justin McCully,0,0,21,11,8,0,2,0,Heavyweight,U-DEC,,3,5:00
"August 29, 2009","Portland, Oregon, USA",win,Todd Duffee,Tim Hague,1,0,4,0,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:07
"August 29, 2009","Portland, Oregon, USA",win,Mark Munoz,Nick Catone,0,0,53,38,2,3,2,1,Middleweight,S-DEC,,3,5:00
"August 29, 2009","Portland, Oregon, USA",win,Evan Dunham,Marcus Aurelio,1,0,58,27,1,3,0,1,Lightweight,S-DEC,,3,5:00
