Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 30, 2018","Las Vegas, Nevada, USA",win,Kamaru Usman,Rafael Dos Anjos,0,0,130,62,12,0,0,2,Welterweight,U-DEC,,5,5:00
"November 30, 2018","Las Vegas, Nevada, USA",win,Juan Espino,Justin Frazier,0,0,22,4,2,0,2,0,Heavyweight,SUB,Armbar,1,3:36
"November 30, 2018","Las Vegas, Nevada, USA",win,Macy Chiasson,Pannie Kianzad,1,0,24,19,0,0,2,1,Women's Featherweight,SUB,Rear Naked Choke,2,2:11
"November 30, 2018","Las Vegas, Nevada, USA",win,Pedro Munhoz,Bryan Caraway,1,0,35,20,0,0,0,0,Bantamweight,KO/TKO,Kick,1,2:39
"November 30, 2018","Las Vegas, Nevada, USA",win,Edmen Shahbazyan,Darren Stewart,0,0,22,34,8,1,0,0,Middleweight,S-DEC,,3,5:00
"November 30, 2018","Las Vegas, Nevada, USA",win,Antonina Shevchenko,Ji Yeon Kim,0,0,66,33,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"November 30, 2018","Las Vegas, Nevada, USA",win,Kevin Aguilar,Ricky Glenn,1,0,86,74,0,0,0,0,Featherweight,U-DEC,,3,5:00
"November 30, 2018","Las Vegas, Nevada, USA",win,Joseph Benavidez,Alex Perez,0,0,35,14,1,1,0,0,Flyweight,KO/TKO,Punches,1,4:19
"November 30, 2018","Las Vegas, Nevada, USA",win,Maurice Greene,Michel Batista,0,0,9,0,0,1,1,0,Heavyweight,SUB,Triangle Choke,1,2:14
"November 30, 2018","Las Vegas, Nevada, USA",win,Leah Letson,Julija Stoliarenko,0,0,73,57,0,0,0,1,Women's Featherweight,S-DEC,,3,5:00
"November 30, 2018","Las Vegas, Nevada, USA",win,Roosevelt Roberts,Darrell Horcher,0,0,16,10,0,0,1,0,Lightweight,SUB,Guillotine Choke,1,4:50
"November 30, 2018","Las Vegas, Nevada, USA",win,Tim Means,Ricky Rainey,0,0,19,6,2,0,0,0,Welterweight,KO/TKO,Punches,1,1:18
"November 30, 2018","Las Vegas, Nevada, USA",win,Raoni Barcelos,Chris Gutierrez,0,0,35,26,2,0,1,0,Bantamweight,SUB,Rear Naked Choke,2,4:12
