Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 27, 2010","Newark, New Jersey, USA",win,Georges St-Pierre,Dan Hardy,0,0,59,4,11,0,6,0,Welterweight,U-DEC,,5,5:00
"March 27, 2010","Newark, New Jersey, USA",win,Shane Carwin,Frank Mir,1,0,49,3,0,0,0,0,Heavyweight,KO/TKO,Punches,1,3:48
"March 27, 2010","Newark, New Jersey, USA",win,Kurt Pellegrino,Fabricio Camoes,0,0,16,8,1,1,2,2,Lightweight,SUB,Rear Naked Choke,2,4:20
"March 27, 2010","Newark, New Jersey, USA",win,Jon Fitch,Ben Saunders,0,0,72,17,2,0,0,0,Welterweight,U-DEC,,3,5:00
"March 27, 2010","Newark, New Jersey, USA",win,Jim Miller,Mark Bocek,0,0,23,17,1,4,3,1,Lightweight,U-DEC,,3,5:00
"March 27, 2010","Newark, New Jersey, USA",win,Nate Diaz,Rory Markham,1,0,34,3,0,0,0,0,Welterweight,KO/TKO,Punches,1,2:47
"March 27, 2010","Newark, New Jersey, USA",win,Ricardo Almeida,Matt Brown,0,0,15,6,5,0,1,0,Welterweight,SUB,Rear Naked Choke,2,3:30
"March 27, 2010","Newark, New Jersey, USA",win,Rousimar Palhares,Tomasz Drwal,0,0,0,0,0,0,1,0,Middleweight,SUB,Heel Hook,1,0:45
"March 27, 2010","Newark, New Jersey, USA",win,Jared Hamman,Rodney Wallace,1,0,60,34,2,11,0,1,Light Heavyweight,U-DEC,,3,5:00
"March 27, 2010","Newark, New Jersey, USA",win,Matthew Riddle,Greg Soto,0,0,47,21,4,0,0,0,Welterweight,DQ,,3,1:30
