Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 07, 2023","Las Vegas, Nevada, USA",win,King Green,Grant Dawson,1,0,7,0,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:33
"October 07, 2023","Las Vegas, Nevada, USA",win,Joe Pyfer,Abdul Razak Alhassan,0,0,26,11,3,0,2,1,Middleweight,SUB,Arm Triangle,2,2:05
"October 07, 2023","Las Vegas, Nevada, USA",win,Joaquin Buckley,Alex Morono,0,0,68,40,2,1,0,0,Welterweight,U-DEC,,3,5:00
"October 07, 2023","Las Vegas, Nevada, USA",win,Drew Dober,Ricky Glenn,1,0,30,5,0,0,0,0,Lightweight,KO/TKO,Punches,1,2:36
"October 07, 2023","Las Vegas, Nevada, USA",win,Bill Algeo,Alexander Hernandez,1,0,110,75,1,0,0,0,Featherweight,U-DEC,,3,5:00
"October 07, 2023","Las Vegas, Nevada, USA",win,Karolina Kowalkiewicz,Diana Belbita,0,0,141,99,1,2,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 07, 2023","Las Vegas, Nevada, USA",win,Nate Maness,Mateus Mendonca,0,0,29,3,0,0,0,0,Flyweight,KO/TKO,Punches,1,4:40
"October 07, 2023","Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Kanako Murata,0,0,31,34,0,5,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 07, 2023","Las Vegas, Nevada, USA",win,Aoriqileng,Johnny Munoz,1,0,44,7,2,4,0,3,Bantamweight,U-DEC,,3,5:00
"October 07, 2023","Las Vegas, Nevada, USA",win,JJ Aldrich,Montana De La Rosa,0,0,65,67,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
