Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 15, 2023","Las Vegas, Nevada, USA",ncnc,Holly Holm,Mayra Bueno Silva,0,0,27,20,0,0,0,1,Women's Bantamweight,Overturned,Guillotine Choke,2,0:38
"July 15, 2023","Las Vegas, Nevada, USA",win,Jack Della Maddalena,Bassil Hafez,0,0,83,32,1,3,0,0,Welterweight,S-DEC,,3,5:00
"July 15, 2023","Las Vegas, Nevada, USA",win,Francisco Prado,Ottman Azaitar,1,0,38,14,0,0,0,0,Lightweight,KO/TKO,Punches,1,4:05
"July 15, 2023","Las Vegas, Nevada, USA",win,JunYong Park,Albert Duraev,1,0,50,31,0,1,3,0,Middleweight,SUB,Rear Naked Choke,2,4:45
"July 15, 2023","Las Vegas, Nevada, USA",win,Norma Dumont,Chelsea Chandler,0,0,47,22,3,1,0,0,Women's Featherweight,U-DEC,,3,5:00
"July 15, 2023","Las Vegas, Nevada, USA",win,Nazim Sadykhov,Terrance McKinney,0,0,8,6,0,2,1,0,Lightweight,SUB,Rear Naked Choke,2,1:07
"July 15, 2023","Las Vegas, Nevada, USA",win,Melsik Baghdasaryan,Tucker Lutz,0,0,64,36,0,3,0,0,Featherweight,U-DEC,,3,5:00
"July 15, 2023","Las Vegas, Nevada, USA",win,Viktoriia Dudakova,Istela Nunes,0,0,3,2,1,0,0,0,Women's Strawweight,KO/TKO,,1,0:34
"July 15, 2023","Las Vegas, Nevada, USA",win,Melquizael Costa,Austin Lingo,0,0,100,39,3,0,1,0,Featherweight,U-DEC,,3,5:00
"July 15, 2023","Las Vegas, Nevada, USA",win,Evan Elder,Genaro Valdez,1,1,96,64,1,0,1,0,Lightweight,U-DEC,,3,5:00
"July 15, 2023","Las Vegas, Nevada, USA",win,Azat Maksum,Tyson Nam,0,0,46,81,2,0,0,0,Flyweight,S-DEC,,3,5:00
"July 15, 2023","Las Vegas, Nevada, USA",win,Alexander Munoz,Carl Deaton,1,0,44,37,3,0,0,0,Lightweight,U-DEC,,3,5:00
"July 15, 2023","Las Vegas, Nevada, USA",win,Ailin Perez,Ashlee Evans-Smith,0,0,60,12,10,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
