Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 12, 2022","Houston, Texas, USA",win,Israel Adesanya,Robert Whittaker,1,0,79,59,0,4,0,0,Middleweight,U-DEC,,5,5:00
"February 12, 2022","Houston, Texas, USA",win,Tai Tuivasa,Derrick Lewis,1,0,24,27,0,2,0,0,Heavyweight,KO/TKO,Elbow,2,1:40
"February 12, 2022","Houston, Texas, USA",win,Jared Cannonier,Derek Brunson,0,1,55,43,1,3,0,1,Middleweight,KO/TKO,Elbows,2,4:29
"February 12, 2022","Houston, Texas, USA",win,Renato Moicano,Alexander Hernandez,0,0,33,37,2,0,1,0,Lightweight,SUB,Rear Naked Choke,2,1:23
"February 12, 2022","Houston, Texas, USA",win,King Green,Nasrat Haqparast,0,0,188,76,0,0,0,0,Lightweight,U-DEC,,3,5:00
"February 12, 2022","Houston, Texas, USA",win,Andrei Arlovski,Jared Vanderaa,0,0,64,70,0,0,0,0,Heavyweight,S-DEC,,3,5:00
"February 12, 2022","Houston, Texas, USA",win,Casey O'Neill,Roxanne Modafferi,0,0,229,120,0,2,0,0,Women's Flyweight,S-DEC,,3,5:00
"February 12, 2022","Houston, Texas, USA",win,Kyler Phillips,Marcelo Rojo,0,0,80,55,3,0,2,0,Bantamweight,SUB,Triangle Armbar,3,1:48
"February 12, 2022","Houston, Texas, USA",win,Carlos Ulberg,Fabio Cherant,0,0,66,13,2,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 12, 2022","Houston, Texas, USA",win,Ronnie Lawrence,Mana Martinez,3,2,46,39,6,0,0,1,Bantamweight,U-DEC,,3,5:00
"February 12, 2022","Houston, Texas, USA",win,Jacob Malkoun,AJ Dobson,0,0,80,52,6,0,0,0,Middleweight,U-DEC,,3,5:00
"February 12, 2022","Houston, Texas, USA",win,Douglas Silva de Andrade,Sergey Morozov,3,1,37,32,0,1,2,0,Bantamweight,SUB,Rear Naked Choke,2,3:24
"February 12, 2022","Houston, Texas, USA",win,Jeremiah Wells,Blood Diamond,0,0,15,1,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,4:38
"February 12, 2022","Houston, Texas, USA",win,Maxim Grishin,William Knight,0,0,69,21,0,3,0,0,Heavyweight,U-DEC,,3,5:00
