Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 08, 2016","Las Vegas, Nevada, USA",win,Joanna Jedrzejczyk,Claudia Gadelha,0,1,176,63,1,4,0,0,Women's Strawweight,U-DEC,,5,5:00
"July 08, 2016","Las Vegas, Nevada, USA",win,Andrew Sanchez,Khalil Rountree Jr.,0,0,31,14,6,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"July 08, 2016","Las Vegas, Nevada, USA",win,Tatiana Suarez,Amanda Cooper,0,0,16,1,3,0,1,2,Women's Strawweight,SUB,D'Arce Choke,1,3:43
"July 08, 2016","Las Vegas, Nevada, USA",win,Will Brooks,Ross Pearson,0,0,80,54,1,0,0,0,Lightweight,U-DEC,,3,5:00
"July 08, 2016","Las Vegas, Nevada, USA",win,Dooho Choi,Thiago Tavares,1,0,4,2,0,2,0,0,Featherweight,KO/TKO,Punch,1,2:42
"July 08, 2016","Las Vegas, Nevada, USA",win,Joaquim Silva,Andrew Holbrook,1,0,6,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:34
"July 08, 2016","Las Vegas, Nevada, USA",win,Gray Maynard,Fernando Bruno,0,0,30,32,3,2,1,1,Featherweight,U-DEC,,3,5:00
"July 08, 2016","Las Vegas, Nevada, USA",win,Matheus Nicolau,John Moraga,0,0,41,31,0,0,0,0,Flyweight,S-DEC,,3,5:00
"July 08, 2016","Las Vegas, Nevada, USA",win,Josh Stansbury,Cory Hendricks,0,0,61,47,0,0,0,0,Light Heavyweight,M-DEC,,3,5:00
"July 08, 2016","Las Vegas, Nevada, USA",win,Cezar Ferreira,Anthony Smith,0,0,30,33,6,0,0,1,Middleweight,U-DEC,,3,5:00
"July 08, 2016","Las Vegas, Nevada, USA",win,Kevin Lee,Jake Matthews,0,0,24,5,1,0,0,0,Lightweight,KO/TKO,Punches,1,4:06
"July 08, 2016","Las Vegas, Nevada, USA",win,Li Jingliang,Anton Zafir,0,0,6,5,1,2,0,0,Welterweight,KO/TKO,Punches,1,2:46
