Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 12, 2010","Vancouver, British Columbia, Canada",win,Rich Franklin,Chuck Liddell,1,0,24,17,0,1,0,0,Light Heavyweight,KO/TKO,Punch,1,4:55
"June 12, 2010","Vancouver, British Columbia, Canada",win,Mirko Filipovic,Pat Barry,1,2,42,25,0,0,2,0,Heavyweight,SUB,Rear Naked Choke,3,4:30
"June 12, 2010","Vancouver, British Columbia, Canada",win,Martin Kampmann,Paulo Thiago,0,0,24,13,1,1,3,1,Welterweight,U-DEC,,3,5:00
"June 12, 2010","Vancouver, British Columbia, Canada",win,Ben Rothwell,Gilbert Yvel,0,0,44,33,5,0,2,2,Heavyweight,U-DEC,,3,5:00
"June 12, 2010","Vancouver, British Columbia, Canada",win,Carlos Condit,Rory MacDonald,0,0,72,29,0,3,1,0,Welterweight,KO/TKO,Punches,3,4:53
"June 12, 2010","Vancouver, British Columbia, Canada",win,Evan Dunham,Tyson Griffin,0,0,28,26,3,0,1,1,Lightweight,S-DEC,,3,5:00
"June 12, 2010","Vancouver, British Columbia, Canada",win,Matt Wiman,Mac Danzig,0,0,4,4,0,1,2,0,Lightweight,SUB,Guillotine Choke,1,1:45
"June 12, 2010","Vancouver, British Columbia, Canada",win,Mario Miranda,David Loiseau,0,0,42,2,3,0,0,0,Middleweight,KO/TKO,Elbows,2,4:07
"June 12, 2010","Vancouver, British Columbia, Canada",win,James Wilks,Peter Sobotta,0,0,38,15,1,1,1,2,Welterweight,U-DEC,,3,5:00
"June 12, 2010","Vancouver, British Columbia, Canada",win,Claude Patrick,Ricardo Funch,0,0,13,5,1,0,2,0,Welterweight,SUB,Guillotine Choke,2,1:48
"June 12, 2010","Vancouver, British Columbia, Canada",win,Mike Pyle,Jesse Lennox,1,0,49,37,0,1,3,0,Welterweight,SUB,Triangle Choke,3,4:44
