Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 27, 2016","Vancouver, British Columbia, Canada",win,Demian Maia,Carlos Condit,0,0,1,1,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,1:52
"August 27, 2016","Vancouver, British Columbia, Canada",win,Anthony Pettis,Charles Oliveira,0,0,53,41,0,4,1,0,Featherweight,SUB,Guillotine Choke,3,1:49
"August 27, 2016","Vancouver, British Columbia, Canada",win,Paige VanZant,Bec Rawlings,1,0,25,21,0,0,0,0,Women's Strawweight,KO/TKO,Kick,2,0:17
"August 27, 2016","Vancouver, British Columbia, Canada",win,Jim Miller,Joe Lauzon,0,0,80,54,0,3,0,1,Lightweight,S-DEC,,3,5:00
"August 27, 2016","Vancouver, British Columbia, Canada",win,Sam Alvey,Kevin Casey,2,0,59,25,0,0,0,0,Middleweight,KO/TKO,Punches,2,4:56
"August 27, 2016","Vancouver, British Columbia, Canada",win,Kyle Bochniak,Enrique Barzola,0,0,41,55,1,1,0,0,Featherweight,S-DEC,,3,5:00
"August 27, 2016","Vancouver, British Columbia, Canada",win,Alessio Di Chirico,Garreth McLellan,1,0,61,57,2,2,0,0,Middleweight,S-DEC,,3,5:00
"August 27, 2016","Vancouver, British Columbia, Canada",win,Felipe Silva,Shane Campbell,1,0,11,9,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:13
"August 27, 2016","Vancouver, British Columbia, Canada",win,Chad Laprise,Thibault Gouti,2,0,17,4,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:36
"August 27, 2016","Vancouver, British Columbia, Canada",win,Jeremy Kennedy,Alex Ricci,0,0,27,28,5,0,0,0,Lightweight,U-DEC,,3,5:00
