Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Cheick Kongo,Pat Barry,1,2,10,8,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:39
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Charlie Brenneman,Rick Story,0,0,11,17,5,2,0,4,Welterweight,U-DEC,,3,5:00
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Matt Brown,John Howard,0,0,38,20,3,5,3,0,Welterweight,U-DEC,,3,5:00
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Matt Mitrione,Christian Morecraft,3,0,37,17,0,2,0,0,Heavyweight,KO/TKO,Punches,2,4:28
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Tyson Griffin,Manvel Gamburyan,0,0,67,32,0,2,0,0,Featherweight,U-DEC,,3,5:00
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Javier Vazquez,Joe Stevenson,0,0,62,27,3,0,1,1,Featherweight,U-DEC,,3,5:00
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Joe Lauzon,Curt Warburton,1,0,12,5,0,0,1,0,Lightweight,SUB,Kimura,1,1:58
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Rich Attonito,Daniel Roberts,1,0,66,23,1,1,0,1,Welterweight,U-DEC,,3,5:00
"June 26, 2011","Pittsburgh, Pennsylvania, USA",ncnc,Nik Lentz,Charles Oliveira,0,1,14,31,2,1,2,3,Lightweight,Overturned,,2,1:48
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Ricardo Lamas,Matt Grice,1,0,16,6,1,0,0,0,Featherweight,KO/TKO,Punches,1,4:41
"June 26, 2011","Pittsburgh, Pennsylvania, USA",win,Michael Johnson,Edward Faaloloto,1,0,27,17,1,0,0,0,Lightweight,KO/TKO,Punches,1,4:42
