Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 18, 2018","Austin, Texas, USA",win,Donald Cerrone,Yancy Medeiros,3,0,28,25,0,0,0,0,Welterweight,KO/TKO,Punch,1,4:58
"February 18, 2018","Austin, Texas, USA",win,Derrick Lewis,Marcin Tybura,2,0,30,37,1,1,0,1,Heavyweight,KO/TKO,Punch,3,2:48
"February 18, 2018","Austin, Texas, USA",win,James Vick,Francisco Trinaldo,1,0,68,26,1,3,0,1,Lightweight,U-DEC,,3,5:00
"February 18, 2018","Austin, Texas, USA",win,Curtis Millender,Thiago Alves,2,0,47,33,0,1,0,0,Welterweight,KO/TKO,Knee,2,4:17
"February 18, 2018","Austin, Texas, USA",win,Brandon Davis,Steven Peterson,0,0,114,73,0,1,0,0,Featherweight,U-DEC,,3,5:00
"February 18, 2018","Austin, Texas, USA",win,Sage Northcutt,Thibault Gouti,0,0,63,28,1,4,0,1,Lightweight,U-DEC,,3,5:00
"February 18, 2018","Austin, Texas, USA",win,Diego Ferreira,Jared Gordon,1,0,29,8,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:58
"February 18, 2018","Austin, Texas, USA",win,Geoff Neal,Brian Camozzi,0,0,14,7,0,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:48
"February 18, 2018","Austin, Texas, USA",win,Robert Sanchez,Joby Sanchez,0,0,2,1,3,0,1,0,Flyweight,SUB,Rear Naked Choke,1,1:50
"February 18, 2018","Austin, Texas, USA",win,Lucie Pudilova,Sarah Moras,2,0,75,43,0,2,0,2,Women's Bantamweight,U-DEC,,3,5:00
"February 18, 2018","Austin, Texas, USA",win,Alex Morono,Joshua Burkman,1,0,7,4,0,0,1,0,Welterweight,SUB,Guillotine Choke,1,2:12
"February 18, 2018","Austin, Texas, USA",win,Oskar Piechota,Tim Williams,1,0,17,8,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:54
