Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 01, 2018","Adelaide, South Australia, Australia",win,Junior Dos Santos,Tai Tuivasa,1,0,26,16,0,0,0,0,Heavyweight,KO/TKO,Punches,2,2:30
"December 01, 2018","Adelaide, South Australia, Australia",win,Mauricio Rua,Tyson Pedro,1,0,30,31,3,0,0,1,Light Heavyweight,KO/TKO,Punches,3,0:43
"December 01, 2018","Adelaide, South Australia, Australia",win,Justin Willis,Mark Hunt,0,0,59,19,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"December 01, 2018","Adelaide, South Australia, Australia",win,Anthony Rocco Martin,Jake Matthews,0,0,25,24,0,0,1,1,Welterweight,SUB,Anaconda Choke,3,1:19
"December 01, 2018","Adelaide, South Australia, Australia",win,Sodiq Yusuff,Suman Mokhtarian,0,0,23,5,0,0,0,0,Featherweight,KO/TKO,Punches,1,2:14
"December 01, 2018","Adelaide, South Australia, Australia",win,Jimmy Crute,Paul Craig,0,0,17,12,1,3,4,0,Light Heavyweight,SUB,Kimura,3,4:51
"December 01, 2018","Adelaide, South Australia, Australia",win,Aleksei Kunchenko,Yushin Okami,0,0,72,10,0,0,0,0,Welterweight,U-DEC,,3,5:00
"December 01, 2018","Adelaide, South Australia, Australia",win,Wilson Reis,Ben Nguyen,0,0,32,39,7,0,1,0,Flyweight,U-DEC,,3,5:00
"December 01, 2018","Adelaide, South Australia, Australia",win,Keita Nakamura,Salim Touahri,1,0,41,34,0,0,0,0,Welterweight,S-DEC,,3,5:00
"December 01, 2018","Adelaide, South Australia, Australia",win,Kai Kara-France,Elias Garcia,1,1,86,16,0,1,0,2,Flyweight,U-DEC,,3,5:00
"December 01, 2018","Adelaide, South Australia, Australia",win,Christos Giagos,Mizuto Hirota,0,0,31,19,5,0,0,1,Lightweight,U-DEC,,3,5:00
"December 01, 2018","Adelaide, South Australia, Australia",win,Damir Ismagulov,Alex Gorgees,0,0,34,10,5,0,0,0,Lightweight,U-DEC,,3,5:00
