Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 04, 2023","Las Vegas, Nevada, USA",win,Serghei Spivac,Derrick Lewis,0,0,12,0,6,0,1,0,Heavyweight,SUB,Arm Triangle,1,3:05
"February 04, 2023","Las Vegas, Nevada, USA",win,Devin Clark,Da Woon Jung,0,0,39,18,3,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 04, 2023","Las Vegas, Nevada, USA",win,Marcin Tybura,Blagoy Ivanov,0,0,40,34,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"February 04, 2023","Las Vegas, Nevada, USA",drawdraw,Dooho Choi,Kyle Nelson,0,0,50,20,0,5,0,0,Featherweight,M-DEC,,3,5:00
"February 04, 2023","Las Vegas, Nevada, USA",win,Adam Fugitt,Yusaku Kinoshita,0,0,21,10,4,0,0,0,Welterweight,KO/TKO,Elbows,1,4:36
"February 04, 2023","Las Vegas, Nevada, USA",win,Anshul Jubli,Jeka Saragih,0,0,38,14,2,0,1,0,Lightweight,KO/TKO,Elbows,2,3:44
"February 04, 2023","Las Vegas, Nevada, USA",win,JeongYeong Lee,Yizha,0,0,25,24,0,5,0,0,Featherweight,S-DEC,,3,5:00
"February 04, 2023","Las Vegas, Nevada, USA",win,Rinya Nakamura,Toshiomi Kazama,2,0,11,4,0,0,0,0,Bantamweight,KO/TKO,Punch,1,0:33
"February 04, 2023","Las Vegas, Nevada, USA",win,HyunSung Park,SeungGuk Choi,0,1,38,20,1,0,3,0,Flyweight,SUB,Rear Naked Choke,3,3:11
"February 04, 2023","Las Vegas, Nevada, USA",win,JunYong Park,Denis Tiuliulin,0,0,25,8,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,4:05
"February 04, 2023","Las Vegas, Nevada, USA",win,Tatsuro Taira,Jesus Aguilar,0,0,1,2,1,0,2,1,Flyweight,SUB,Triangle Armbar,1,4:20
