Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 01, 2018","Utica, New York, USA",win,Marlon Moraes,Jimmie Rivera,1,0,7,0,0,0,0,0,Bantamweight,KO/TKO,Kick,1,0:33
"June 01, 2018","Utica, New York, USA",win,Gregor Gillespie,Vinc Pichel,0,0,13,7,7,0,2,0,Lightweight,SUB,Arm Triangle,2,4:06
"June 01, 2018","Utica, New York, USA",win,Walt Harris,Daniel Spitz,1,0,29,17,0,0,0,0,Heavyweight,KO/TKO,Punches,2,4:59
"June 01, 2018","Utica, New York, USA",win,Ben Saunders,Jake Ellenberger,1,0,10,5,0,0,0,0,Welterweight,KO/TKO,Knee,1,1:56
"June 01, 2018","Utica, New York, USA",win,Julio Arce,Daniel Teymur,0,0,63,37,0,0,1,0,Featherweight,SUB,Rear Naked Choke,3,2:55
"June 01, 2018","Utica, New York, USA",win,Sam Alvey,Gian Villante,1,0,53,50,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"June 01, 2018","Utica, New York, USA",win,Sijara Eubanks,Lauren Murphy,0,0,75,49,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"June 01, 2018","Utica, New York, USA",win,David Teymur,Nik Lentz,0,0,67,61,0,0,0,0,Lightweight,U-DEC,,3,5:00
"June 01, 2018","Utica, New York, USA",win,Belal Muhammad,Chance Rencountre,0,0,70,16,3,0,1,0,Welterweight,U-DEC,,3,5:00
"June 01, 2018","Utica, New York, USA",win,Desmond Green,Gleison Tibau,0,0,77,28,0,0,0,0,Lightweight,U-DEC,,3,5:00
"June 01, 2018","Utica, New York, USA",win,Nathaniel Wood,Johnny Eduardo,0,0,33,37,0,0,1,0,Bantamweight,SUB,D'Arce Choke,2,2:18
"June 01, 2018","Utica, New York, USA",win,Jose Torres,Jarred Brooks,0,0,22,31,1,2,0,0,Flyweight,KO/TKO,Punches,2,2:55
