Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 11, 2012","San Jose, California, USA",win,Chris Weidman,Mark Munoz,1,0,28,0,2,0,2,0,Middleweight,KO/TKO,Elbow,2,1:37
"July 11, 2012","San Jose, California, USA",win,James Te Huna,Joey Beltran,1,0,122,73,3,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"July 11, 2012","San Jose, California, USA",win,Aaron Simpson,Kenny Robertson,0,0,48,29,6,0,0,0,Welterweight,U-DEC,,3,5:00
"July 11, 2012","San Jose, California, USA",win,Francis Carmont,Karlos Vemola,0,0,4,3,0,1,2,2,Middleweight,SUB,Rear Naked Choke,2,1:39
"July 11, 2012","San Jose, California, USA",win,TJ Dillashaw,Vaughan Lee,0,0,3,8,2,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,2:33
"July 11, 2012","San Jose, California, USA",win,Rafael Dos Anjos,Anthony Njokuani,0,0,51,32,6,0,0,0,Lightweight,U-DEC,,3,5:00
"July 11, 2012","San Jose, California, USA",win,Alex Caceres,Damacio Page,0,0,9,7,0,2,3,0,Bantamweight,SUB,Triangle Choke,2,1:27
"July 11, 2012","San Jose, California, USA",win,Chris Cariaso,Josh Ferguson,0,0,70,20,3,1,0,0,Flyweight,U-DEC,,3,5:00
"July 11, 2012","San Jose, California, USA",win,Andrew Craig,Rafael Natal,1,2,23,73,0,2,0,0,Middleweight,KO/TKO,Kick,2,4:52
"July 11, 2012","San Jose, California, USA",win,Marcelo Guimaraes,Dan Stittgen,0,0,63,49,0,1,0,0,Welterweight,S-DEC,,3,5:00
"July 11, 2012","San Jose, California, USA",win,Raphael Assuncao,Issei Tamura,1,0,39,5,0,0,0,0,Bantamweight,KO/TKO,Punch,2,0:25
