Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 17, 2012","Montreal, Quebec, Canada",win,Georges St-Pierre,Carlos Condit,0,1,71,36,7,0,0,0,Welterweight,U-DEC,,5,5:00
"November 17, 2012","Montreal, Quebec, Canada",win,Johny Hendricks,Martin Kampmann,1,0,3,0,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:46
"November 17, 2012","Montreal, Quebec, Canada",win,Francis Carmont,Tom Lawlor,0,0,34,20,0,2,1,2,Middleweight,S-DEC,,3,5:00
"November 17, 2012","Montreal, Quebec, Canada",win,Rafael Dos Anjos,Mark Bocek,0,0,54,19,4,0,0,1,Lightweight,U-DEC,,3,5:00
"November 17, 2012","Montreal, Quebec, Canada",win,Pablo Garza,Mark Hominick,0,1,83,39,2,1,1,0,Featherweight,U-DEC,,3,5:00
"November 17, 2012","Montreal, Quebec, Canada",win,Patrick Cote,Alessio Sakara,0,1,14,24,0,0,0,0,Middleweight,DQ,,1,1:26
"November 17, 2012","Montreal, Quebec, Canada",win,Cyrille Diabate,Chad Griggs,1,0,6,2,2,1,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,2:24
"November 17, 2012","Montreal, Quebec, Canada",win,John Makdessi,Sam Stout,0,0,84,63,0,0,0,0,Lightweight,U-DEC,,3,5:00
"November 17, 2012","Montreal, Quebec, Canada",win,Antonio Carvalho,Rodrigo Damm,0,0,48,50,0,0,0,0,Featherweight,S-DEC,,3,5:00
"November 17, 2012","Montreal, Quebec, Canada",win,Matthew Riddle,John Maguire,0,0,45,37,1,0,0,2,Welterweight,U-DEC,,3,5:00
"November 17, 2012","Montreal, Quebec, Canada",win,Ivan Menjivar,Azamat Gashimov,0,0,6,4,0,1,1,0,Bantamweight,SUB,Armbar,1,2:44
"November 17, 2012","Montreal, Quebec, Canada",win,Darren Elkins,Steven Siler,0,0,44,15,6,0,6,1,Featherweight,U-DEC,,3,5:00
