Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 19, 2019","Brooklyn, New York, USA",win,Henry Cejudo,TJ Dillashaw,1,0,18,1,0,0,0,0,Flyweight,KO/TKO,Punches,1,0:32
"January 19, 2019","Brooklyn, New York, USA",win,Allen Crowder,Greg Hardy,0,0,12,29,1,0,1,0,Heavyweight,DQ,,2,2:28
"January 19, 2019","Brooklyn, New York, USA",win,Gregor Gillespie,Yancy Medeiros,0,0,51,1,6,0,0,0,Lightweight,KO/TKO,Punches,2,4:59
"January 19, 2019","Brooklyn, New York, USA",win,Joseph Benavidez,Dustin Ortiz,1,0,21,49,7,3,0,0,Flyweight,U-DEC,,3,5:00
"January 19, 2019","Brooklyn, New York, USA",win,Paige VanZant,Rachael Ostovich,0,0,17,10,0,4,2,0,Women's Flyweight,SUB,Armbar,2,1:50
"January 19, 2019","Brooklyn, New York, USA",win,Glover Teixeira,Karl Roberson,0,1,6,24,1,0,1,0,Light Heavyweight,SUB,Arm Triangle,1,3:21
"January 19, 2019","Brooklyn, New York, USA",win,Donald Cerrone,Alexander Hernandez,1,0,80,49,1,0,0,0,Lightweight,KO/TKO,Kick,2,3:43
"January 19, 2019","Brooklyn, New York, USA",win,Joanne Wood,Ariane da Silva,0,0,85,53,1,1,2,0,Women's Flyweight,U-DEC,,3,5:00
"January 19, 2019","Brooklyn, New York, USA",win,Alonzo Menifield,Vinicius Moreira,1,0,33,11,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:56
"January 19, 2019","Brooklyn, New York, USA",win,Cory Sandhagen,Mario Bautista,1,0,17,9,1,1,2,0,Bantamweight,SUB,Armbar,1,3:31
"January 19, 2019","Brooklyn, New York, USA",win,Dennis Bermudez,Te Edwards,0,1,63,23,5,0,2,0,Lightweight,U-DEC,,3,5:00
"January 19, 2019","Brooklyn, New York, USA",win,Geoff Neal,Belal Muhammad,2,0,71,63,0,0,0,0,Welterweight,U-DEC,,3,5:00
"January 19, 2019","Brooklyn, New York, USA",win,Chance Rencountre,Kyle Stewart,0,0,6,2,2,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:25
