Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Donald Cerrone,Alex Oliveira,0,0,4,14,1,0,1,0,Welterweight,SUB,Triangle Choke,1,2:33
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Derek Brunson,Roan Carneiro,0,0,23,0,0,0,0,0,Middleweight,KO/TKO,Punches,1,2:38
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Cody Garbrandt,Augusto Mendes,1,0,11,11,0,0,0,0,Catch Weight,KO/TKO,Punches,1,4:18
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Dennis Bermudez,Tatsuya Kawajiri,0,0,61,12,4,1,1,0,Featherweight,U-DEC,,3,5:00
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Chris Camozzi,Joe Riggs,1,0,11,0,0,0,0,0,Middleweight,KO/TKO,Knees,1,0:26
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,James Krause,Shane Campbell,0,0,47,82,2,2,2,0,Lightweight,U-DEC,,3,5:00
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Sean Strickland,Alex Garcia,1,0,84,23,1,3,0,0,Welterweight,KO/TKO,Punches,3,4:25
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Oluwale Bamgbose,Daniel Sarafian,1,0,8,0,0,0,0,0,Middleweight,KO/TKO,Kick,1,1:00
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Anthony Smith,Leonardo Guimaraes,0,0,57,64,2,0,0,0,Middleweight,U-DEC,,3,5:00
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Nathan Coy,Jonavin Webb,0,0,37,21,3,3,0,0,Welterweight,U-DEC,,3,5:00
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Ashlee Evans-Smith,Marion Reneau,0,0,55,53,1,1,0,1,Women's Bantamweight,S-DEC,,3,5:00
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Lauren Murphy,Kelly Faszholz,0,0,95,76,1,0,0,0,Women's Bantamweight,KO/TKO,Punches,3,4:55
"February 21, 2016","Pittsburgh, Pennsylvania, USA",win,Shamil Abdurakhimov,Anthony Hamilton,0,0,62,40,0,0,0,0,Heavyweight,U-DEC,,3,5:00
