Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 01, 2021","Las Vegas, Nevada, USA",win,Jiri Prochazka,Dominick Reyes,1,0,77,63,1,1,0,1,Light Heavyweight,KO/TKO,Spinning Back Elbow,2,4:29
"May 01, 2021","Las Vegas, Nevada, USA",win,Giga Chikadze,Cub Swanson,1,0,12,4,0,0,0,0,Featherweight,KO/TKO,Kick,1,1:03
"May 01, 2021","Las Vegas, Nevada, USA",drawdraw,Ion Cutelaba,Dustin Jacoby,0,0,71,84,9,1,0,0,Light Heavyweight,S-DEC,,3,5:00
"May 01, 2021","Las Vegas, Nevada, USA",win,Sean Strickland,Krzysztof Jotko,0,0,84,37,0,0,0,0,Middleweight,U-DEC,,3,5:00
"May 01, 2021","Las Vegas, Nevada, USA",win,Merab Dvalishvili,Cody Stamann,0,0,71,48,5,1,1,0,Bantamweight,U-DEC,,3,5:00
"May 01, 2021","Las Vegas, Nevada, USA",win,Luana Pinheiro,Randa Markos,0,0,29,18,5,0,0,0,Women's Strawweight,DQ,,1,4:16
"May 01, 2021","Las Vegas, Nevada, USA",win,TJ Brown,Kai Kamaka,0,1,82,61,2,1,1,0,Featherweight,S-DEC,,3,5:00
"May 01, 2021","Las Vegas, Nevada, USA",win,Luana Carolina,Poliana Botelho,0,0,25,34,0,1,0,0,Women's Flyweight,S-DEC,,3,5:00
"May 01, 2021","Las Vegas, Nevada, USA",win,Loma Lookboonmee,Sam Hughes,0,0,84,49,4,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"May 01, 2021","Las Vegas, Nevada, USA",win,Andreas Michailidis,KB Bhullar,0,0,73,70,1,0,0,0,Middleweight,U-DEC,,3,5:00
"May 01, 2021","Las Vegas, Nevada, USA",win,Felipe Colares,Luke Sanders,0,1,78,118,2,2,0,0,Featherweight,U-DEC,,3,5:00
