Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Dan Henderson,Mauricio Rua,1,2,23,48,0,1,0,0,Light Heavyweight,KO/TKO,Punch,3,1:31
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,CB Dollaway,Cezar Ferreira,1,0,12,3,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:39
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",drawdraw,Leonardo Santos,Norman Parke,0,0,26,37,0,0,0,0,Lightweight,M-DEC,,3,5:00
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Fabio Maldonado,Gian Villante,0,0,132,33,0,3,0,0,Light Heavyweight,U-DEC,,3,5:00
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Michel Prazeres,Mairbek Taisumov,1,0,35,26,3,0,0,0,Lightweight,U-DEC,,3,5:00
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Rony Jason,Steven Siler,1,0,3,11,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:17
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Thiago Santos,Ronny Markes,1,0,7,0,0,0,0,0,Middleweight,KO/TKO,Kick,1,0:53
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Jussier Formiga,Scott Jorgensen,0,0,9,6,1,0,1,0,Flyweight,SUB,Rear Naked Choke,1,3:07
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Kenny Robertson,Thiago Perpetuo,0,0,9,0,1,1,1,0,Welterweight,SUB,Rear Naked Choke,1,1:45
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Hans Stringer,Francimar Barroso,0,0,44,36,1,3,0,0,Light Heavyweight,S-DEC,,3,5:00
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",win,Godofredo Pepey,Noad Lahat,1,0,5,11,0,0,0,0,Featherweight,KO/TKO,Flying Knee,1,2:39
