Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 21, 2017","Gdansk, Poland",win,Darren Till,Donald Cerrone,1,0,24,14,0,1,0,0,Welterweight,KO/TKO,Punch,1,4:20
"October 21, 2017","Gdansk, Poland",win,Karolina Kowalkiewicz,Jodie Esquibel,0,0,127,65,1,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 21, 2017","Gdansk, Poland",win,Jan Blachowicz,Devin Clark,0,0,33,15,1,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,2,3:02
"October 21, 2017","Gdansk, Poland",win,Oskar Piechota,Jonathan Wilson,1,0,56,17,1,0,3,0,Middleweight,U-DEC,,3,5:00
"October 21, 2017","Gdansk, Poland",win,Marcin Held,Nasrat Haqparast,0,1,19,27,3,1,1,0,Lightweight,U-DEC,,3,5:00
"October 21, 2017","Gdansk, Poland",win,Brian Kelleher,Damian Stasiak,1,0,79,43,1,1,1,0,Bantamweight,KO/TKO,Punch,3,3:39
"October 21, 2017","Gdansk, Poland",win,Ramazan Emeev,Sam Alvey,0,0,38,29,1,0,0,0,Middleweight,U-DEC,,3,5:00
"October 21, 2017","Gdansk, Poland",win,Andre Fili,Artem Lobov,1,0,55,55,5,0,0,0,Featherweight,U-DEC,,3,5:00
"October 21, 2017","Gdansk, Poland",win,Warlley Alves,Salim Touahri,0,0,38,35,2,0,0,0,Welterweight,U-DEC,,3,5:00
"October 21, 2017","Gdansk, Poland",win,Aspen Ladd,Lina Lansberg,0,0,26,41,1,0,0,0,Women's Bantamweight,KO/TKO,Punches,2,2:33
"October 21, 2017","Gdansk, Poland",win,Josh Emmett,Felipe Arantes,4,0,67,43,1,0,0,0,Featherweight,U-DEC,,3,5:00
