Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Santiago Ponzinibbio,Gunnar Nelson,1,0,7,5,0,0,0,0,Welterweight,KO/TKO,Punches,1,1:22
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Cynthia Calvillo,Joanne Wood,0,0,54,63,2,0,2,0,Women's Strawweight,U-DEC,,3,5:00
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Paul Felder,Stevie Ray,1,0,23,5,0,0,0,0,Lightweight,KO/TKO,Elbow,1,3:57
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Jack Marshman,Ryan Janes,0,0,75,83,0,0,0,0,Middleweight,U-DEC,,3,5:00
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Khalil Rountree Jr.,Paul Craig,1,0,15,17,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,4:56
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Justin Willis,James Mulheron,0,0,52,36,3,0,0,0,Heavyweight,U-DEC,,3,5:00
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Danny Roberts,Bobby Nash,1,0,24,25,0,2,0,0,Welterweight,KO/TKO,Punch,2,3:59
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Alexandre Pantoja,Neil Seery,1,0,119,82,1,0,1,0,Flyweight,SUB,Rear Naked Choke,3,2:31
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Galore Bofando,Charlie Ward,0,0,10,3,1,0,0,0,Welterweight,KO/TKO,Slam,1,2:10
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Danny Henry,Daniel Teymur,1,0,93,69,1,0,2,0,Lightweight,U-DEC,,3,5:00
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Brett Johns,Albert Morales,0,0,56,28,3,0,1,0,Bantamweight,U-DEC,,3,5:00
"July 16, 2017","Glasgow, Scotland, United Kingdom",win,Leslie Smith,Amanda Lemos,0,0,101,68,0,1,0,0,Women's Bantamweight,KO/TKO,Elbows,2,2:53
