Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 05, 2016","Las Vegas, Nevada, USA",win,Nate Diaz,Conor McGregor,0,0,77,61,1,0,2,0,Welterweight,SUB,Rear Naked Choke,2,4:12
"March 05, 2016","Las Vegas, Nevada, USA",win,Miesha Tate,Holly Holm,0,0,40,59,2,0,2,0,Women's Bantamweight,SUB,Rear Naked Choke,5,3:30
"March 05, 2016","Las Vegas, Nevada, USA",win,Ilir Latifi,Gian Villante,0,0,30,23,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"March 05, 2016","Las Vegas, Nevada, USA",win,Corey Anderson,Tom Lawlor,0,0,55,31,1,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"March 05, 2016","Las Vegas, Nevada, USA",win,Amanda Nunes,Valentina Shevchenko,0,0,39,28,2,1,2,0,Women's Bantamweight,U-DEC,,3,5:00
"March 05, 2016","Las Vegas, Nevada, USA",win,Siyar Bahadurzada,Brandon Thatch,0,0,84,30,3,1,1,0,Welterweight,SUB,Arm Triangle,3,4:11
"March 05, 2016","Las Vegas, Nevada, USA",win,Nordine Taleb,Erick Silva,1,0,26,11,1,0,0,0,Welterweight,KO/TKO,Punch,2,1:34
"March 05, 2016","Las Vegas, Nevada, USA",win,Vitor Miranda,Marcelo Guimaraes,0,0,46,23,0,1,0,0,Middleweight,KO/TKO,Kick,2,1:09
"March 05, 2016","Las Vegas, Nevada, USA",win,Darren Elkins,Chas Skelly,0,0,104,27,7,0,0,2,Featherweight,U-DEC,,3,5:00
"March 05, 2016","Las Vegas, Nevada, USA",win,Diego Sanchez,Jim Miller,0,0,48,56,2,0,0,0,Lightweight,U-DEC,,3,5:00
"March 05, 2016","Las Vegas, Nevada, USA",win,Jason Saggo,Justin Salas,0,0,20,1,0,1,0,0,Lightweight,KO/TKO,Punches,1,4:31
"March 05, 2016","Las Vegas, Nevada, USA",win,Teruto Ishihara,Julian Erosa,1,0,27,16,0,1,0,0,Featherweight,KO/TKO,Punch,2,0:34
