Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 30, 2024","Atlantic City, New Jersey, USA",win,Manon Fiorot,Erin Blanchfield,0,0,172,130,1,0,0,1,Women's Flyweight,U-DEC,,5,5:00
"March 30, 2024","Atlantic City, New Jersey, USA",win,Joaquin Buckley,Vicente Luque,0,0,55,21,0,0,0,0,Welterweight,KO/TKO,Punches,2,3:17
"March 30, 2024","Atlantic City, New Jersey, USA",win,Chris Weidman,Bruno Silva,1,0,75,30,1,0,0,0,Middleweight,U-DEC,,3,2:18
"March 30, 2024","Atlantic City, New Jersey, USA",win,Nursulton Ruziboev,Sedriques Dumas,1,0,12,1,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:18
"March 30, 2024","Atlantic City, New Jersey, USA",win,Kyle Nelson,Bill Algeo,0,0,32,30,0,0,0,0,Featherweight,KO/TKO,Punches,1,4:00
"March 30, 2024","Atlantic City, New Jersey, USA",win,Chidi Njokuani,Rhys McKee,0,0,64,30,0,0,0,0,Welterweight,S-DEC,,3,5:00
"March 30, 2024","Atlantic City, New Jersey, USA",win,Nate Landwehr,Jamall Emmers,1,0,37,39,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:43
"March 30, 2024","Atlantic City, New Jersey, USA",win,Virna Jandiroba,Loopy Godinez,0,0,30,38,2,0,3,0,Women's Strawweight,U-DEC,,3,5:00
"March 30, 2024","Atlantic City, New Jersey, USA",win,Julio Arce,Herbert Burns,2,0,29,15,0,0,0,0,Featherweight,KO/TKO,Punch,2,2:00
"March 30, 2024","Atlantic City, New Jersey, USA",win,Dennis Buzukja,Connor Matthews,1,0,83,60,0,1,0,0,Featherweight,KO/TKO,Punch,3,0:22
"March 30, 2024","Atlantic City, New Jersey, USA",win,Ibo Aslan,Anton Turkalj,1,0,74,55,0,0,0,0,Light Heavyweight,KO/TKO,Punch,3,1:32
"March 30, 2024","Atlantic City, New Jersey, USA",win,Jacob Malkoun,Andre Petroski,0,0,20,13,0,1,0,0,Middleweight,KO/TKO,Kick,2,0:39
"March 30, 2024","Atlantic City, New Jersey, USA",win,Caolan Loughran,Angel Pacheco,0,0,140,88,3,0,0,0,Bantamweight,U-DEC,,3,5:00
