Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Kamaru Usman,Jorge Masvidal,0,0,94,66,5,0,0,0,Welterweight,U-DEC,,5,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Alexander Volkanovski,Max Holloway,0,0,137,102,3,0,0,0,Featherweight,S-DEC,,5,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Petr Yan,Jose Aldo,1,0,194,83,1,0,0,0,Bantamweight,KO/TKO,Punches,5,3:24
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Rose Namajunas,Jessica Andrade,0,0,82,71,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Amanda Ribas,Paige VanZant,0,0,6,3,1,0,1,0,Women's Flyweight,SUB,Armbar,1,2:21
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Jiri Prochazka,Volkan Oezdemir,1,0,33,41,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,0:49
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Muslim Salikhov,Elizeu Zaleski dos Santos,0,0,40,46,0,0,0,0,Welterweight,S-DEC,,3,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Makwan Amirkhani,Danny Henry,0,0,2,6,1,0,1,0,Featherweight,SUB,Anaconda Choke,1,3:15
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Leonardo Santos,Roman Bogatov,0,0,66,50,1,1,0,0,Lightweight,U-DEC,,3,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Marcin Tybura,Maxim Grishin,0,0,24,18,3,0,0,0,Heavyweight,U-DEC,,3,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Raulian Paiva,Zhalgas Zhumagulov,0,0,52,66,0,2,0,0,Flyweight,U-DEC,,3,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Karol Rosa,Vanessa Melo,0,0,120,45,2,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Davey Grant,Martin Day,1,1,74,62,2,0,1,0,Bantamweight,KO/TKO,Punch,3,2:38
