Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 10, 2015","Las Vegas, Nevada, USA",win,Rose Namajunas,Paige VanZant,0,0,57,10,8,0,4,0,Women's Strawweight,SUB,Rear Naked Choke,5,2:25
"December 10, 2015","Las Vegas, Nevada, USA",win,Michael Chiesa,Jim Miller,0,0,13,7,2,0,1,1,Lightweight,SUB,Rear Naked Choke,2,2:57
"December 10, 2015","Las Vegas, Nevada, USA",win,Sage Northcutt,Cody Pfister,0,0,8,5,2,2,1,0,Lightweight,SUB,Guillotine Choke,2,0:41
"December 10, 2015","Las Vegas, Nevada, USA",win,Thiago Santos,Elias Theodorou,0,0,52,28,1,1,0,0,Middleweight,U-DEC,,3,5:00
"December 10, 2015","Las Vegas, Nevada, USA",win,Tim Means,John Howard,1,0,37,20,0,3,0,0,Welterweight,KO/TKO,Punch,2,0:21
"December 10, 2015","Las Vegas, Nevada, USA",win,Sergio Moraes,Omari Akhmedov,1,1,21,35,0,1,0,0,Welterweight,KO/TKO,Punches,3,2:18
"December 10, 2015","Las Vegas, Nevada, USA",ncnc,Antonio Carlos Junior,Kevin Casey,0,0,1,0,0,0,0,0,Middleweight,CNC,,1,0:11
"December 10, 2015","Las Vegas, Nevada, USA",win,Aljamain Sterling,Johnny Eduardo,0,0,23,4,2,0,1,0,Bantamweight,SUB,Guillotine Choke,2,4:18
"December 10, 2015","Las Vegas, Nevada, USA",win,Santiago Ponzinibbio,Andreas Stahl,1,0,48,14,0,2,0,0,Welterweight,KO/TKO,Punch,1,4:25
"December 10, 2015","Las Vegas, Nevada, USA",win,Danny Roberts,Nathan Coy,0,0,6,11,0,1,1,0,Welterweight,SUB,Triangle Choke,1,2:46
"December 10, 2015","Las Vegas, Nevada, USA",win,Zubaira Tukhugov,Phillipe Nover,0,0,21,20,1,0,0,0,Featherweight,S-DEC,,3,5:00
"December 10, 2015","Las Vegas, Nevada, USA",win,Kailin Curran,Emily Kagan,0,0,21,22,1,1,2,0,Women's Strawweight,SUB,Rear Naked Choke,2,4:13
