Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Deiveson Figueiredo,Joseph Benavidez,2,0,35,18,0,0,4,0,Flyweight,SUB,Rear Naked Choke,1,4:48
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Jack Hermansson,Kelvin Gastelum,0,0,2,0,0,1,1,0,Middleweight,SUB,Heel Hook,1,1:18
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Rafael Fiziev,Marc Diakiese,0,0,78,68,1,0,0,0,Lightweight,U-DEC,,3,5:00
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Ariane da Silva,Luana Carolina,0,0,3,2,0,0,1,1,Women's Flyweight,SUB,Kneebar,1,1:28
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Askar Askarov,Alexandre Pantoja,0,0,41,32,2,1,0,0,Flyweight,U-DEC,,3,5:00
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Roman Dolidze,Khadis Ibragimov,1,0,19,4,0,0,0,0,Light Heavyweight,KO/TKO,Knee,1,4:15
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Grant Dawson,Nad Narimani,0,0,53,31,2,0,1,0,Catch Weight,U-DEC,,3,5:00
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Joel Alvarez,Joe Duffy,0,0,18,14,0,1,1,0,Lightweight,SUB,Guillotine Choke,1,2:25
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Brett Johns,Montel Jackson,0,1,11,26,8,2,1,0,Bantamweight,U-DEC,,3,5:00
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Amir Albazi,Malcolm Gordon,0,0,12,3,1,0,1,0,Bantamweight,SUB,Triangle Choke,1,4:42
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Arman Tsarukyan,Davi Ramos,0,0,91,33,1,0,0,0,Lightweight,U-DEC,,3,5:00
"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Serghei Spivac,Carlos Felipe,0,0,73,44,3,0,0,0,Heavyweight,M-DEC,,3,5:00
