Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 06, 2016","Las Vegas, Nevada, USA",win,Stephen Thompson,Johny Hendricks,1,0,24,7,0,0,0,0,Welterweight,KO/TKO,Punch,1,3:31
"February 06, 2016","Las Vegas, Nevada, USA",win,Roy Nelson,Jared Rosholt,0,0,42,36,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"February 06, 2016","Las Vegas, Nevada, USA",win,Ovince Saint Preux,Rafael Cavalcante,0,0,51,10,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 06, 2016","Las Vegas, Nevada, USA",win,Joseph Benavidez,Zach Makovsky,0,0,66,40,0,4,0,0,Flyweight,U-DEC,,3,5:00
"February 06, 2016","Las Vegas, Nevada, USA",win,Misha Cirkunov,Alex Nicholson,0,0,32,16,3,0,1,0,Light Heavyweight,SUB,Neck Crank,2,1:28
"February 06, 2016","Las Vegas, Nevada, USA",win,Mike Pyle,Sean Spencer,0,1,75,50,1,0,0,0,Welterweight,KO/TKO,Elbow,3,4:25
"February 06, 2016","Las Vegas, Nevada, USA",win,Joshua Burkman,KJ Noons,0,0,57,33,3,0,0,0,Lightweight,U-DEC,,3,5:00
"February 06, 2016","Las Vegas, Nevada, USA",win,Derrick Lewis,Damian Grabowski,0,0,14,1,1,0,0,0,Heavyweight,KO/TKO,Punch,1,2:17
"February 06, 2016","Las Vegas, Nevada, USA",win,Justin Scoggins,Ray Borg,0,0,57,20,4,1,0,0,Flyweight,U-DEC,,3,5:00
"February 06, 2016","Las Vegas, Nevada, USA",win,Diego Rivas,Noad Lahat,1,0,5,7,1,1,0,3,Featherweight,KO/TKO,Flying Knee,2,0:23
"February 06, 2016","Las Vegas, Nevada, USA",win,Mickey Gall,Mike Jackson,1,0,2,3,0,0,1,0,Welterweight,SUB,Rear Naked Choke,1,0:45
"February 06, 2016","Las Vegas, Nevada, USA",win,Alex White,Artem Lobov,0,0,78,23,3,0,0,0,Featherweight,U-DEC,,3,5:00
