Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 04, 2012","Las Vegas, Nevada, USA",win,Carlos Condit,Nick Diaz,0,0,151,105,0,1,0,0,Welterweight,U-DEC,,5,5:00
"February 04, 2012","Las Vegas, Nevada, USA",win,Fabricio Werdum,Roy Nelson,0,0,91,26,0,0,0,1,Heavyweight,U-DEC,,3,5:00
"February 04, 2012","Las Vegas, Nevada, USA",win,Josh Koscheck,Mike Pierce,0,0,33,41,2,1,0,0,Welterweight,S-DEC,,3,5:00
"February 04, 2012","Las Vegas, Nevada, USA",win,Renan Barao,Scott Jorgensen,0,0,104,73,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 04, 2012","Las Vegas, Nevada, USA",win,Ed Herman,Clifford Starks,0,0,28,16,2,0,2,0,Middleweight,SUB,Rear Naked Choke,2,1:43
"February 04, 2012","Las Vegas, Nevada, USA",win,Dustin Poirier,Max Holloway,0,0,11,11,1,0,3,0,Featherweight,SUB,Triangle Armbar,1,3:23
"February 04, 2012","Las Vegas, Nevada, USA",win,Edwin Figueroa,Alex Caceres,1,0,41,55,0,1,0,7,Bantamweight,S-DEC,,3,5:00
"February 04, 2012","Las Vegas, Nevada, USA",win,Matt Brown,Chris Cope,1,0,48,20,1,0,0,0,Welterweight,KO/TKO,Punches,2,1:19
"February 04, 2012","Las Vegas, Nevada, USA",win,Matthew Riddle,Henry Martinez,0,0,74,67,2,0,0,0,Welterweight,S-DEC,,3,5:00
"February 04, 2012","Las Vegas, Nevada, USA",win,Rafael Natal,Michael Kuiper,0,1,36,30,6,0,2,0,Middleweight,U-DEC,,3,5:00
"February 04, 2012","Las Vegas, Nevada, USA",win,Stephen Thompson,Dan Stittgen,1,0,22,8,0,0,0,0,Welterweight,KO/TKO,Kick,1,4:13
