Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 21, 2013","Toronto, Ontario, Canada",win,Jon Jones,Alexander Gustafsson,0,0,134,110,1,1,0,0,Light Heavyweight,U-DEC,,5,5:00
"September 21, 2013","Toronto, Ontario, Canada",win,Renan Barao,Eddie Wineland,1,0,28,11,0,0,0,0,Bantamweight,KO/TKO,Spinning Back Kick,2,0:35
"September 21, 2013","Toronto, Ontario, Canada",win,Brendan Schaub,Matt Mitrione,0,0,14,7,1,0,1,0,Heavyweight,SUB,D'Arce Choke,1,4:06
"September 21, 2013","Toronto, Ontario, Canada",win,Francis Carmont,Constantinos Philippou,0,0,29,7,5,0,0,0,Middleweight,U-DEC,,3,5:00
"September 21, 2013","Toronto, Ontario, Canada",win,Khabib Nurmagomedov,Pat Healy,0,0,54,44,5,0,0,0,Lightweight,U-DEC,,3,5:00
"September 21, 2013","Toronto, Ontario, Canada",win,Myles Jury,Mike Ricci,0,0,22,25,4,0,0,0,Lightweight,S-DEC,,3,5:00
"September 21, 2013","Toronto, Ontario, Canada",win,Wilson Reis,Ivan Menjivar,0,0,33,29,4,0,0,0,Bantamweight,U-DEC,,3,5:00
"September 21, 2013","Toronto, Ontario, Canada",win,Stephen Thompson,Chris Clements,2,0,23,17,2,0,0,0,Welterweight,KO/TKO,Punch,2,1:27
"September 21, 2013","Toronto, Ontario, Canada",win,Mitch Gagnon,Dustin Kimura,0,0,27,15,1,0,1,1,Bantamweight,SUB,Guillotine Choke,1,4:05
"September 21, 2013","Toronto, Ontario, Canada",win,John Makdessi,Renee Forte,1,0,20,7,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:01
"September 21, 2013","Toronto, Ontario, Canada",win,Michel Prazeres,Jesse Ronson,0,0,19,38,7,1,0,0,Lightweight,S-DEC,,3,5:00
"September 21, 2013","Toronto, Ontario, Canada",win,Alex Caceres,Roland Delorme,0,1,106,47,0,1,0,1,Bantamweight,S-DEC,,3,5:00
"September 21, 2013","Toronto, Ontario, Canada",win,Daniel Omielanczuk,Nandor Guelmino,1,0,49,56,2,0,1,0,Heavyweight,KO/TKO,Punch,3,3:18
